,Pistil,Cabium,Bark,Old_leaf,Mature_xylem,Expanded_leaf,Young_leaf,Immature_xylem,Apex,Phloem,Root,Petiole,long1,long2,long3,long4,long5,long6,short1,short2,short3,short4,short5,short6
evm.TU.FRAGSCAFF_23.2,0,0,0,0,0.172473860407356,0,0.0677217699426396,0.00152892671823664,0.0202444977047532,0.0187661426552249,0.000219272981890539,0,0,0,0,0,0.00260603748529808,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_26__FRAGMENT_2.5,0,0,0,0,0.0609055948745676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_44__FRAGMENT_2.32,0,0.0219231280861117,0,0.00634446662140947,0.108639533253804,0.00381089069902571,0,0.0268751129371032,0,0.0102513504335046,0.00583973609071717,0.00561460886730215,0,0.00994190156289614,0,0.0102656751626466,0.0113706384961507,0.0136418638910547,0,0.00489444638942293,0.0111015160068034,0,0,0
evm.TU.FRAGSCAFF_44__FRAGMENT_2.7,0,0,0,0.0590663400032005,0.745646665506888,0.00171050232375871,0.214438598438203,0,0,0,0,0.00768014686347157,0.00538465592712418,0.125289611680544,0,0,0.0348279798585758,0.00784755697832112,0.0217582899028343,0.0161363742879717,0.058440264856443,0.00812111316887958,0,0.054661429093879
evm.TU.FRAGSCAFF_44__FRAGMENT_3.2,0,0.0968501475376807,0,0,0.234639881302596,0,0,0.0663808585786102,0,0,0.255432650838528,0.0648350363479591,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_49__FRAGMENT_2.6,0.096629565219291,0.048114095558462,0.455118076018408,0,1.28886762411074,0,0,0.207141121630618,0,0.246368763921217,0.0818377116951362,0.0518347104593194,0,0,0,0.0156583678361657,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_5__FRAGMENT_5.2,0.37166368070468,0.434027674663597,0,0.0455417570402652,1.78547731662967,0,0,1.00736751423001,0.218124392786483,0.211607429476507,0.397459447857152,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_75__FRAGMENT_3.23,0.292369491748004,0,0,0.171399857606784,2.63149228674002,0,0.17584562513613,0,0.51907015424034,0,0.269035142281768,0.477714624764679,0,0.0661273177568907,0,0,0,0,0,0,0,0,0,0.0565913896457153
evm.TU.FRAGSCAFF_75__FRAGMENT_3.45,0,0,0,0,0.0199684884714585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_7__FRAGMENT_1.17,0,0.231519041281531,0,0.028682771272358,0.735532286524207,0.0668878065885556,0.0973388607367776,0.375420205861399,0.00453734680350598,0.0489262078731426,0,0.0393031297443709,0.0345373737026845,0.00790925501693296,0.00667479263801783,0.0573088551445654,0.00634829740045621,0.0267830655351716,0.0395464567167388,0,0.058276314329054,0.0151892438816992,0.00672984057898499,0.0245055011022791
