,Pistil,Cabium,Bark,Old_leaf,Mature_xylem,Expanded_leaf,Young_leaf,Immature_xylem,Apex,Phloem,Root,Petiole,long1,long2,long3,long4,long5,long6,short1,short2,short3,short4,short5,short6
evm.TU.FRAGSCAFF_21__FRAGMENT_1.32,0,0,0,0,0,0.0438694075720224,0.117878083129796,0,0,0.219073706139635,0,0,0,0,0,0,0,0,0,0,0,0,0.027506541378093,0
evm.TU.FRAGSCAFF_27__FRAGMENT_2.21,0.987514788950052,0.559938624609094,0,1.37808041495391,0.072451594137536,1.01025540935995,0.568647653397673,0.204192897064233,1.45646676484144,5.01616368792966,3.25287818516201,1.47903322087094,0.870103744655385,0.845533406415188,0.514002041098147,0.433317720743861,0.823930025764918,0.652397158180723,0.660225545323291,0.4128714708451,0.525675022407741,0.573317968395251,0.600525088886289,0.682946881820814
evm.TU.FRAGSCAFF_36.5,0,0,0,0,0,0,0,0,0,0.03269002954958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_44__FRAGMENT_2.14,0,0,0,0,0.0140795833238812,0,0,0,0,0.0595103382319111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_47__FRAGMENT_3.15,0.633980283244049,0.20424590945852,1.00442804213647,1.3015057062212,0.103984106621958,1.57320096599817,0.989183099379612,0.315410108241402,0.653156346466764,3.66322953280294,4.23280877891628,2.15189788096463,1.19791926626587,1.26208451913303,1.05083553031894,1.17775454321165,1.06082007376671,1.2147916905753,0.880320087912667,0.542104814289263,0.874389374022757,0.787415747212122,0.724668314693308,0.956190008532184
evm.TU.FRAGSCAFF_52__FRAGMENT_3.2,0,0,0,0,0,0,0,0,0,0.0323717198853609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_57__FRAGMENT_2.35,0.16899624814954,0,0,0.0171707986431519,0.109654752265302,0.213746255943419,0.186995739211739,0.00259211605499438,0.167244443683923,0.782918171520962,0.232598545210969,0.285034815464305,0,0.0808727446159803,0,0.0859317539737586,0.0172895954451056,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_57__FRAGMENT_2.37,0,0,0,0,0,0,0,0,0,0.0292658155693145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_59.3,0,0,0,0,0,0,0,0.00682748397392789,0,0.100249727038364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_72__FRAGMENT_4.1,0,0.0926837465668027,0,0,0,0,0,0.0260965366538264,0,5.00255596328978,3.8582840287545,0,0,0,0,0.0269902814557691,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_72__FRAGMENT_4.2,0,0.15818964756545,0,0.204421213546318,0,0.0605556389730213,0.0699454591421732,0,0.400216202228639,3.75406728393279,2.10736258458063,0.611384558199567,0.297402741968532,0.0960612019273555,0.106503324839986,0,0.0467247962714245,0,0.0441478783916482,0,0,0,0.0904871791971385,0
evm.TU.FRAGSCAFF_89__FRAGMENT_4.5,0.0497220658262401,0,0,0,0,0,0,0,0,0.122087350219443,0.0459386959728089,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.1000,0.4259431656234,0,0,0.0336995030714609,0,0.21205379842349,0.296518491181083,0,0.31148490205499,1.35062491542011,0.996710032482337,0.69448086193738,0.0170329810701244,0.0348430005384657,0.0166066151714496,0.07588627298106,0.0189934971746926,0,0.0447382266617677,0.0175152842753758,0.0876447790817754,0.0191111957994391,0.0492934024852962,0.0956575665945435
evm.TU.HIC_ASM_0.199,0.126352443277836,0.180105203613515,0,0.0676121024855786,0.0667794517772358,0.0745401442020397,0.10403556411182,0.0639363759876495,0.114230189666912,1.04897734167012,0.654958507325741,0.243810013447275,0.0747725773774271,0.00279131782179839,0.0240420833550894,0,0.0435143604939113,0.0418088269161603,0.0257049657743235,0.0351049148755864,0.0535112961987202,0.0415172883301228,0.0754988590438903,0.0211371355002906
evm.TU.HIC_ASM_0.203,0.0435859838364844,0,0,0.0368132317887458,0,0.148463430067993,0.141698285169061,0.0103415938526207,0.124081488511469,0.466752048499328,0.209714118939778,0.190681014714256,0.0233798012953268,0.0165243705215386,0,0.0128851850228017,0.0403776665693003,0.0143471981496113,0,0,0.0146923585785131,0,0.0133498170438564,0
evm.TU.HIC_ASM_0.286,0,0,0,0,0,0,0,0,0,0.216022690361414,0.0167639631360505,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.300,0,0,0,0.0627033710851776,0,0.025143166253597,0.025500871987345,0.0184822530585461,0,0.406308084795373,0.151024470531168,0.0301721986843542,0.0588521392997405,0,0.0152477736989371,0.0305512594475625,0.023875123034271,0,0.0245924929914583,0,0.0175637431736634,0,0,0
evm.TU.HIC_ASM_0.317,0,0.212713756756864,0,0.251332504568929,0.480607398336936,0.0627996013251046,0.00442181008268936,0.129769219856225,0.0929249976957054,1.09723951308378,1.12973032023764,0.0228204084162779,0,0,0.00956932875667067,0.0300742391891057,0,0,0.059161428407714,0.0421745684522436,0.0286049829218913,0,0.118819507570886,0
evm.TU.HIC_ASM_0.346,0,0.107753475300145,0,0,0,0.0222764251247246,0,0.0716491888419074,0,4.12384174980809,4.78270752253675,0.170862554951255,0,0.0614531815745998,0.0503642411542399,0,0.0286469424791584,0.03017502435391,0,0,0.0153519794473807,0,0,0
evm.TU.HIC_ASM_0.474,0,0.0444346891212918,0.0852873149379028,0,0.265270052283251,0.0805835376115036,0.0823969440129842,0.0918965796165961,0.155792400213268,2.06002478023265,1.43289991732107,0.78025885830955,0.0573430557694067,0.0303888168282662,0,0,0.0297435751874552,0,0,0,0.0261475417443108,0,0,0
evm.TU.HIC_ASM_0.53,0,0,0,0,0,0,0,0,0.0134798871989987,0.0984927727484313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.571,0,0,0,0.0522929982890326,0.0536489158694141,0,0.0613407316923583,0.0270134094901776,0.0536984918769692,0.543203850414873,0.270619039086976,0.233510570609466,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.582,0.898182807581639,0.307877876570252,0.720398429423414,0,0.246560506842697,0,0.0875397833866795,0.716993235189459,1.49302473002145,2.3278378526983,0.587524694438956,0.115499412557526,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.583,0.0787512282756599,0.0643420844213612,0,0,0.131436712547521,0.190588313112363,0.121759440715597,0.126379978357221,0.268532606085048,2.44660940419884,0.702658725026365,0.0658599492781402,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.774,0,0,0,0,0,0,0,0,0,0.0254701604598495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.910,0,0,0,0,0,0,0,0,0,0.0249857852325756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.965,0.255130267970375,0.05655023501973,0,0.104257030245235,0,0.246229297520503,0.317550286215686,0.256531249928948,0.130569821509658,1.69169256994461,1.30189156556013,0.596664860466499,0.0165638290278597,0.0185007692384494,0.0337756079123887,0.0687372975997036,0.055051701086664,0.0665246033209595,0.150224741390118,0.175404517877627,0.0562963479840408,0.0647458400824775,0.0842951687051138,0.140218916318995
evm.TU.HIC_ASM_1.1243,0.0977955036997279,0,0,0.237004397328031,0,0.10497756656211,0,0,0.0806708514957833,0.973081976222504,0.150238175807003,0,0.327234750213569,0.214210618281558,0.33314051061495,0.194455665309294,0.211217832981746,0.274877079861193,0.180167810449632,0.206561960708925,0.120873004245152,0.27500704749987,0.1452635519901,0.324965326902223
evm.TU.HIC_ASM_1.133,0,0,0,0,0,0,0,0,0,0.123038839297425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.1416,0,0,0,0,0,0,0,0,0,0.0195918555609277,0.0177024591732774,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.1467,0.0542101472354603,0.23434925629258,0.0795248907248051,0.0101988247322303,0.0556315905311418,0.00442468663982184,0.299333760955132,0.210322360531785,0.263930201187576,0.784187909732199,0.125274179754679,0.178503041007553,0.0147861330790639,0.0248184604535679,0.00443858895960033,0.0352691742684736,0.00992709649558844,0.00938491691056814,0,0,0,0,0.00854712549671574,0.00404397191675854
evm.TU.HIC_ASM_1.1508,2.34767458454324,1.53833304300664,0.803790776145623,0.487724034871019,1.51144914748821,1.12167281032776,1.99842395704004,1.76164980229944,2.39469412463259,5.56271753461372,3.89483043666142,2.17682858476593,0.663158473052515,0.600953507889284,0.57811173338719,0.644276857092323,0.711903649047165,0.367562666312131,0.310032545966383,0.394189970540545,0.276906338815683,0.335321651973853,0.318115115469351,0.2895527823042
evm.TU.HIC_ASM_1.1578,0.00415690205013417,0.0037389444461487,0.0114970700821996,0.02179760694093,0.00593648141981009,0.0170985646412644,0.0234805825352009,0.00129736161010554,0.00611415160833612,0.1069512708417,0.00892713133927138,0.0098812461023671,0.00878804647433744,0.00912832612957465,0.00860114548666178,0.0104175085477494,0.0075385492869652,0.00893812420727704,0.0088391896813091,0.00936007260432637,0.00817897359900124,0.0233906831693659,0.0205185581898494,0.00904087415159409
