"power","mean.k","R.squared"
2,1245.21329216568,0.521755419674961
3,743.383458139774,0.489158033038612
4,500.456274344291,0.485611367023194
5,362.129925349374,0.49032609554102
6,275.0968938286,0.496902805458988
7,216.513845983165,0.504350240288451
8,175.098496927776,0.512728416738045
9,144.700253612896,0.522103946945384
10,121.713680572989,0.532373379709643
11,103.903900606424,0.543375644289216
12,89.8225315742079,0.554897214603083
13,78.4960541695581,0.566744686849451
14,69.2498687164032,0.578805208778568
15,61.6042330017804,0.591004418954887
16,55.2102652180331,0.603261223701519
17,49.8092540381935,0.615529187567219
18,45.2060318089317,0.627785537598109
19,41.2511060149631,0.640052775520124
20,37.8283985276707,0.652231000064188
21,34.8466644896085,0.664414769205432
22,32.2333789551438,0.676929982156007
23,29.9303112973911,0.689979876931774
24,27.8902745416014,0.703064028153986
25,26.0747058703036,0.715855474098695
26,24.4518438087668,0.72697104963064
27,22.9953395519825,0.737780320745597
28,21.6831881021943,0.748266099158882
29,20.4968977009795,0.758434093015175
30,19.4208387056344,0.768274407087054
