nodeName	altName	nodeAttr[nodesPresent, ]
evm.TU.FRAGSCAFF_58__FRAGMENT_1.1	NA	cyan
evm.TU.FRAGSCAFF_58__FRAGMENT_1.3	NA	cyan
evm.TU.FRAGSCAFF_78__FRAGMENT_1.1	NA	cyan
evm.TU.FRAGSCAFF_94__FRAGMENT_3.13	NA	cyan
evm.TU.HIC_ASM_0.147	NA	cyan
evm.TU.HIC_ASM_0.221	NA	cyan
evm.TU.HIC_ASM_0.360	NA	cyan
evm.TU.HIC_ASM_0.369	NA	cyan
evm.TU.HIC_ASM_0.370	NA	cyan
evm.TU.HIC_ASM_0.371	NA	cyan
evm.TU.HIC_ASM_0.464	NA	cyan
evm.TU.HIC_ASM_0.619	NA	cyan
evm.TU.HIC_ASM_1.2699	NA	cyan
evm.TU.HIC_ASM_10.104	NA	cyan
evm.TU.HIC_ASM_10.461	NA	cyan
evm.TU.HIC_ASM_10.476	NA	cyan
evm.TU.HIC_ASM_10.619	NA	cyan
evm.TU.HIC_ASM_11.1181	NA	cyan
evm.TU.HIC_ASM_11.1342	NA	cyan
evm.TU.HIC_ASM_11.351	NA	cyan
evm.TU.HIC_ASM_11.827	NA	cyan
evm.TU.HIC_ASM_11.935	NA	cyan
evm.TU.HIC_ASM_12.1023	NA	cyan
evm.TU.HIC_ASM_12.1268	NA	cyan
evm.TU.HIC_ASM_12.405	NA	cyan
evm.TU.HIC_ASM_13.1111	NA	cyan
evm.TU.HIC_ASM_13.1112	NA	cyan
evm.TU.HIC_ASM_13.928	NA	cyan
evm.TU.HIC_ASM_14.1150	NA	cyan
evm.TU.HIC_ASM_14.271	NA	cyan
evm.TU.HIC_ASM_14.313	NA	cyan
evm.TU.HIC_ASM_14.314	NA	cyan
evm.TU.HIC_ASM_14.647	NA	cyan
evm.TU.HIC_ASM_14.786	NA	cyan
evm.TU.HIC_ASM_15.1230	NA	cyan
evm.TU.HIC_ASM_15.1663	NA	cyan
evm.TU.HIC_ASM_15.395	NA	cyan
evm.TU.HIC_ASM_15.709	NA	cyan
evm.TU.HIC_ASM_15.752	NA	cyan
evm.TU.HIC_ASM_15.970	NA	cyan
evm.TU.HIC_ASM_16.128	NA	cyan
evm.TU.HIC_ASM_16.192	NA	cyan
evm.TU.HIC_ASM_16.327	NA	cyan
evm.TU.HIC_ASM_16.431	NA	cyan
evm.TU.HIC_ASM_16.532	NA	cyan
evm.TU.HIC_ASM_16.974	NA	cyan
evm.TU.HIC_ASM_17.1562	NA	cyan
evm.TU.HIC_ASM_17.227	NA	cyan
evm.TU.HIC_ASM_18.354	NA	cyan
evm.TU.HIC_ASM_18.545	NA	cyan
evm.TU.HIC_ASM_18.663	NA	cyan
evm.TU.HIC_ASM_2.1045	NA	cyan
evm.TU.HIC_ASM_2.155	NA	cyan
evm.TU.HIC_ASM_2.376	NA	cyan
evm.TU.HIC_ASM_3.1005	NA	cyan
evm.TU.HIC_ASM_3.1126	NA	cyan
evm.TU.HIC_ASM_3.1251	NA	cyan
evm.TU.HIC_ASM_3.1298	NA	cyan
evm.TU.HIC_ASM_3.1552	NA	cyan
evm.TU.HIC_ASM_3.1873	NA	cyan
evm.TU.HIC_ASM_3.477	NA	cyan
evm.TU.HIC_ASM_3.538	NA	cyan
evm.TU.HIC_ASM_4.1039	NA	cyan
evm.TU.HIC_ASM_5.1017	NA	cyan
evm.TU.HIC_ASM_5.1129	NA	cyan
evm.TU.HIC_ASM_6.1667	NA	cyan
evm.TU.HIC_ASM_6.1668	NA	cyan
evm.TU.HIC_ASM_6.2383	NA	cyan
evm.TU.HIC_ASM_6.2997	NA	cyan
evm.TU.HIC_ASM_6.3775	NA	cyan
evm.TU.HIC_ASM_6.4156	NA	cyan
evm.TU.HIC_ASM_6.591	NA	cyan
evm.TU.HIC_ASM_6.618	NA	cyan
evm.TU.HIC_ASM_7.108	NA	cyan
evm.TU.HIC_ASM_7.251	NA	cyan
evm.TU.HIC_ASM_8.1269	NA	cyan
evm.TU.HIC_ASM_8.1571	NA	cyan
evm.TU.HIC_ASM_8.1575	NA	cyan
evm.TU.HIC_ASM_8.1833	NA	cyan
evm.TU.HIC_ASM_8.476	NA	cyan
evm.TU.HIC_ASM_8.763	NA	cyan
evm.TU.HIC_ASM_8.766	NA	cyan
evm.TU.HIC_ASM_8.792	NA	cyan
evm.TU.HIC_ASM_8.853	NA	cyan
evm.TU.HIC_ASM_8.899	NA	cyan
evm.TU.HIC_ASM_9.1589	NA	cyan
evm.TU.HIC_ASM_9.1766	NA	cyan
evm.TU.ORIGINAL_113.13	NA	cyan
evm.TU.ORIGINAL_247__FRAGMENT_2.42	NA	cyan
evm.TU.ORIGINAL_247__FRAGMENT_2.50	NA	cyan
evm.TU.ORIGINAL_439__FRAGMENT_1.30	NA	cyan
evm.TU.ORIGINAL_469__FRAGMENT_1.2	NA	cyan
evm.TU.ORIGINAL_469__FRAGMENT_1.3	NA	cyan
evm.TU.ORIGINAL_469__FRAGMENT_1.4	NA	cyan
evm.TU.ORIGINAL_469__FRAGMENT_1.5	NA	cyan
PB.15499	NA	cyan
PB.4893	NA	cyan
PB.12838	NA	cyan
PB.3498	NA	cyan
PB.16679	NA	cyan
