"Module","VascularTissue","ModuleSize","UpGenes","PropUp","IsVascularInThatTissue"
"black","Cabium",2476,116,0.0468497576736672,FALSE
"black","Immature_xylem",2476,102,0.0411954765751212,FALSE
"black","Mature_xylem",2476,263,0.106219709208401,FALSE
"black","Phloem",2476,331,0.133683360258481,FALSE
"blue","Cabium",1288,1,0.00077639751552795,FALSE
"blue","Immature_xylem",1288,0,0,FALSE
"blue","Mature_xylem",1288,0,0,FALSE
"blue","Phloem",1288,0,0,FALSE
"brown","Cabium",646,0,0,FALSE
"brown","Immature_xylem",646,0,0,FALSE
"brown","Mature_xylem",646,2,0.00309597523219814,FALSE
"brown","Phloem",646,0,0,FALSE
"cyan","Cabium",118,0,0,FALSE
"cyan","Immature_xylem",118,0,0,FALSE
"cyan","Mature_xylem",118,0,0,FALSE
"cyan","Phloem",118,0,0,FALSE
"green","Cabium",467,9,0.019271948608137,FALSE
"green","Immature_xylem",467,36,0.0770877944325482,FALSE
"green","Mature_xylem",467,429,0.918629550321199,TRUE
"green","Phloem",467,15,0.0321199143468951,FALSE
"greenyellow","Cabium",182,182,1,TRUE
"greenyellow","Immature_xylem",182,7,0.0384615384615385,FALSE
"greenyellow","Mature_xylem",182,28,0.153846153846154,FALSE
"greenyellow","Phloem",182,6,0.032967032967033,FALSE
"lightcyan","Cabium",480,3,0.00625,FALSE
"lightcyan","Immature_xylem",480,4,0.00833333333333333,FALSE
"lightcyan","Mature_xylem",480,3,0.00625,FALSE
"lightcyan","Phloem",480,423,0.88125,TRUE
"magenta","Cabium",79,0,0,FALSE
"magenta","Immature_xylem",79,0,0,FALSE
"magenta","Mature_xylem",79,0,0,FALSE
"magenta","Phloem",79,0,0,FALSE
"midnightblue","Cabium",1795,1287,0.716991643454039,TRUE
"midnightblue","Immature_xylem",1795,1230,0.685236768802228,TRUE
"midnightblue","Mature_xylem",1795,518,0.28857938718663,TRUE
"midnightblue","Phloem",1795,26,0.0144846796657382,FALSE
"pink","Cabium",320,0,0,FALSE
"pink","Immature_xylem",320,1,0.003125,FALSE
"pink","Mature_xylem",320,0,0,FALSE
"pink","Phloem",320,0,0,FALSE
"purple","Cabium",330,0,0,FALSE
"purple","Immature_xylem",330,0,0,FALSE
"purple","Mature_xylem",330,0,0,FALSE
"purple","Phloem",330,6,0.0181818181818182,FALSE
"red","Cabium",120,0,0,FALSE
"red","Immature_xylem",120,0,0,FALSE
"red","Mature_xylem",120,0,0,FALSE
"red","Phloem",120,0,0,FALSE
"salmon","Cabium",116,2,0.0172413793103448,FALSE
"salmon","Immature_xylem",116,114,0.982758620689655,TRUE
"salmon","Mature_xylem",116,25,0.21551724137931,TRUE
"salmon","Phloem",116,4,0.0344827586206897,FALSE
"tan","Cabium",436,0,0,FALSE
"tan","Immature_xylem",436,0,0,FALSE
"tan","Mature_xylem",436,0,0,FALSE
"tan","Phloem",436,1,0.00229357798165138,FALSE
"turquoise","Cabium",380,13,0.0342105263157895,FALSE
"turquoise","Immature_xylem",380,10,0.0263157894736842,FALSE
"turquoise","Mature_xylem",380,79,0.207894736842105,TRUE
"turquoise","Phloem",380,200,0.526315789473684,TRUE
"yellow","Cabium",107,0,0,FALSE
"yellow","Immature_xylem",107,0,0,FALSE
"yellow","Mature_xylem",107,0,0,FALSE
"yellow","Phloem",107,0,0,FALSE
