"","x"
"black","evm.TU.HIC_ASM_3.1719_evm.TU.HIC_ASM_3.1720"
"blue","evm.TU.HIC_ASM_3.2095"
"brown","evm.TU.HIC_ASM_5.1096"
"cyan","evm.TU.HIC_ASM_1.503"
"green","evm.TU.HIC_ASM_18.1239"
"greenyellow","evm.TU.HIC_ASM_5.1198"
"lightcyan","evm.TU.HIC_ASM_9.293"
"magenta","evm.TU.FRAGSCAFF_57__FRAGMENT_2.42"
"midnightblue","evm.TU.HIC_ASM_6.1220_evm.TU.HIC_ASM_6.1221"
"pink","evm.TU.HIC_ASM_1.998"
"purple","evm.TU.HIC_ASM_15.1488"
"red","PB.20327"
"salmon","evm.TU.HIC_ASM_8.588"
"tan","evm.TU.HIC_ASM_18.136"
"turquoise","evm.TU.HIC_ASM_9.1215"
"yellow","evm.TU.FRAGSCAFF_78__FRAGMENT_1.1"
