,Pistil,Cabium,Bark,Old_leaf,Mature_xylem,Expanded_leaf,Young_leaf,Immature_xylem,Apex,Phloem,Root,Petiole,long1,long2,long3,long4,long5,long6,short1,short2,short3,short4,short5,short6
evm.TU.FRAGSCAFF_21__FRAGMENT_1.14,0,0,0,0,0,0,0,0,0,0,0.136944262178661,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_27__FRAGMENT_2.13,0.112084896461831,0,0,0.0334396819031099,0.0385307656881525,0,0,0.10100679323317,0.123048555031087,0.0128051102359746,0.218231465374695,0.0114999325666807,0,0.0130715333022945,0.0174254884848817,0.0199120480396685,0.00680642371417646,0.0081464579668996,0,0.0106108581230921,0,0.0122320654623243,0,0
evm.TU.FRAGSCAFF_44__FRAGMENT_2.18,0.0691865808097408,0,0,0,0,0,0.0301481802696778,0,0,0,0.279951025044239,0.112802868992461,0,0,0,0,0,0,0,0,0.112891812656604,0,0,0
evm.TU.FRAGSCAFF_49__FRAGMENT_1.15,0.891649766305448,0,0,0.0777930777698856,0,0.021673969312148,0.1566986292746,0,0.813092568823122,0,2.24635133090234,0.0425901764994911,0.0609014456971338,0.0961255396037098,0,0.0429197776235112,0.103428258419284,0.107956968766405,0.0167226077284414,0.0547720867881606,0.0376614796468744,0.0580056394318724,0.109556695089581,0.101302245166065
evm.TU.FRAGSCAFF_49__FRAGMENT_1.19,0,0,0,0,0,0,0,0,0,0,0.0182685876365469,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_49__FRAGMENT_2.2,0,0,0,0,0,0,0,0,0,0,0.144410153158658,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_75__FRAGMENT_3.53,0,0,0,0,0.100948950923513,0,0,0,0,0,0.270075979256465,0,0,0,0,0,0,0,0,0.032033585907853,0.0416840892513729,0,0,0
evm.TU.FRAGSCAFF_75__FRAGMENT_3.57,0,0,0,0.0399319499404455,0,0,0.161108577916182,0,0.260057380446477,0,0.428978136756256,0.0499675900285738,0,0,0.0118052311592188,0,0.0115858044602385,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_75__FRAGMENT_3.7,0.687497015199941,0.504194766365675,0.177684391489347,0.103209351200358,0.334427545971409,0.19957330951069,0.160682300675885,0.0699454591421732,0.800483446821133,0.257900911249205,2.17243641638224,0.0877103973413638,0.164677739893903,0.229000471852537,0.218021447577158,0.168197863557196,0.161464215191744,0.19139504199561,0,0.0567731012983435,0.161614699294985,0.166951483981458,0.0267080071529072,0.182613910650948
evm.TU.HIC_ASM_0.109,0,0,0,0,0,0,0,0,0,0,0.0735104146788473,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.191,0,0,0.106186149592085,0,0.104822397201962,0,0,0.00482878591460691,0.0135737405401815,0.0922877355105411,0.255949031958897,0.00964002897724218,0.0247418816240621,0,0.00953493256955865,0.0213119954782342,0.0215062599628531,0.00512783277875947,0.00424728726155327,0,0.0191719399496296,0.0109402088416009,0,0.0104280116758054
evm.TU.HIC_ASM_0.245,0,0,0,0,0,0,0,0,0,0,0.0308167784315184,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.268,0,0,0,0,0,0,0,0,0,0,0.159559868923476,0,0,0,0,0,0,0,0.0450668704184411,0,0,0,0,0.0573268796556739
evm.TU.HIC_ASM_0.307,0,0,0,0,0,0,0,0.0280009197295206,0,0,0.187876673375914,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.313,0.107369838836677,0,0.408043338967992,0,0.0189892256902964,0.135966891249095,0.126550026524115,0,0.0466298162676992,0.538152400463584,1.27728950837477,0.0456726834840014,0,0,0,0,0,0,0,0.114331040423689,0,0,0,0
evm.TU.HIC_ASM_0.326,0,0,0,0,0,0,0,0,0,0,0.222164457098107,0.0510866669886668,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.332,0,0.3651897176687,0,0,0,0,0,0.197485067191056,0.217732831906846,0.400118904632939,1.07804252747867,0,0.153188790367063,0.0775187488631391,0.208065215297426,0.200382146690039,0.181634357048311,0.12978372428445,0.1468572113494,0.254057416687972,0.173562415627577,0.241642930182666,0.241663267194584,0.0997094922508073
evm.TU.HIC_ASM_0.39,0,0,0,0,0,0,0.06122689029609,0,0.0488522927546084,0,0.116912540081416,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.4,0,0,0,0,0,0,0.0457472285026344,0,0,0,0.0670342552231228,0,0,0,0,0,0,0,0,0,0,0,0,0.0368807348905033
evm.TU.HIC_ASM_0.45,0,0,0,0,0,0,0,0,0,0,0.224195075242669,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.454,0,0.0951324921430303,0.142359846394413,0,0.0459405588124992,0.074339190776614,0.0931287904758434,0,0.180192003386008,0.0857840383562975,0.602664643522033,0.0872935546478969,0,0,0,0,0,0.0115290336927792,0,0,0.0225950750848779,0,0,0
evm.TU.HIC_ASM_0.466,0,0,0,0,0,0,0.0441413482366894,0,0,0,0.131974414595575,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.48,0.267886316895864,0.0117010078889087,0.172281401495798,0.493583121345843,1.71504800094582,0.893003595703176,0.932886124488426,0.0986517677004418,0.405463092951648,0.682802791649708,4.39273366062576,1.84218772970714,0.294165680296953,0.245955191742872,0.183340834446412,0.140895986282538,0.198517202629852,0.119481017054817,0.167807495498122,0.194971651055139,0.166789130420759,0.175751965324423,0.294990619510279,0.13890094939172
evm.TU.HIC_ASM_0.514,0,0,0,0,0,0,0,0,0,0.0021965138716373,1.47921538229807,0.00463657676355891,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.562,0.0556642110386797,0,0,0.29798059761398,0,0.0668299573961584,0,0,0.0127522012419398,0.0581525309966635,0.865235500042597,0.0581405210940156,0.239566682210067,0.122909007289156,0.171864816630169,0.185298656008601,0.13043715044897,0.20569236594821,0.17899417732267,0.124647963569054,0.0347655436407897,0.198266154604427,0.122488960446076,0.0408587732132465
evm.TU.HIC_ASM_0.586,0,0,0,0,0,0,0,0,0,0,0.15752452879178,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.688,0,0.0738558718738695,0,0,0,0,0,0,0,0.0688597180946302,0.226136093789357,0,0,0,0.0369426099592998,0,0,0,0.040074146015005,0,0,0,0,0
evm.TU.HIC_ASM_0.975,0,0,0,0,0,0,0,0,0,0,0.0491753520246239,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.1160,1.48818231782411,0.0274895558893616,0.108074767655446,0.0420101587847485,0,0.0345660152358454,0.0868557632505972,0,1.69834962635785,0.0169621674261113,2.73803149621533,0.103957707334069,0.0772215744101523,0.0446151407947812,0.178179207169683,0.206396085658534,0.363558735093522,0.0338066124373766,0.0853022735373337,0.234644377559625,0.0904745316914334,0.127765767849603,0.352613155741421,0.151959234416331
evm.TU.HIC_ASM_1.1187,0,0.0964528051993949,0,0,1.15692143170692,0,0,0.324703093581425,0,0,5.35058659947317,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.1274,0,0,0,0,0,0,0,0,0,0,0.0727506662469378,0,0,0,0,0,0,0,0,0,0.0281532566265674,0,0,0
evm.TU.HIC_ASM_1.1560,0,0,0,0,0.0224113748360779,0,0.0121042662031821,0,0.0391884724577638,0,0.0860522715470334,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.1614,0.023447698816272,0,0,0.0155413391397647,0.0464174854109623,0,0,0.00885496230670616,0,0,1.18063716567013,0.0163175472804318,0.0535701448105292,0.051311771094855,0.0669989063439012,0.0462787089131729,0.0453548965732398,0.0436118791802771,0.00670064104843233,0.0462903513231599,0.0600243183553473,0.0169788010886465,0.0169488586469863,0.026615004400448
evm.TU.HIC_ASM_1.1721,0,0,0,0,0,0.0384108956402261,0.0712725364520756,0,0.200269137692862,0.0363893906183844,0.736269181192894,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.1738,0,0.0548686155584008,0,0,0,0.0170695756447503,0,0,0.0512286952315027,0.194650232620619,0.82395854977872,0.057262174773502,0,0,0,0,0.0585464771407158,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.251,0,0,0,0,0,0,0,0,0,0,0.127071939053099,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.2522,0,0.0429636559214596,0.0743862344130946,0,0,0,0,0.0267434125367664,0.0454010313422515,0.0503800315939305,0.164478230510409,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.465,0,0.489199689582629,0,0,0.590177543347614,0,0,0.816016639996802,0,0,1.3909038968048,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.824,1.12295659207657,0,0,0,0,0,0,0,1.24251186128803,0,2.64692597734034,0,0,0,0.0308525547909925,0,0.0686318343306486,0.0114422051757389,0,0,0,0,0,0
evm.TU.HIC_ASM_1.842,0,0,0,0,0,0,0,0,0,0,0.078631238612596,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.844,2.11759980170832,0.127930371682397,0.0473555101671751,0,0,0,0.0117766121158004,0.0114054675798928,0.786558447366933,0,2.0566146246986,0,0.0211437706149068,0,0.0226135385545287,0.0102766578361515,0.133412278132544,0.011219858785104,0,0,0,0.0355793375067234,0.00956693968134247,0
evm.TU.HIC_ASM_1.845,0,0,0,0,0,0,0,0,0,0,0.0664547986740068,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.902,0,0,0,0.0192616271071617,0.0239545857635226,0.00614479813893798,0.0465529896314564,0.0281570299324441,0.0360310905908251,0.0946716277163133,0.242936987053815,0.0386230034838149,0.0114985013251502,0,0,0,0,0,0.0382942932777143,0,0.00595994944247303,0,0,0
evm.TU.HIC_ASM_10.359,0,0,0,0,0,0,0,0,0,0,0.132627728604192,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.369,0,0,0,0,0,0,0,0,0,0,0.0471176872505774,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.40,0,0,0,0,0,0,0.0242246312584609,0.027675441273845,0.0334725740661581,0,0.244140966114591,0,0,0.0197066577171885,0,0.0106251792830923,0,0,0,0.0185392251604654,0,0.00965197227609252,0.0394023373208391,0
evm.TU.HIC_ASM_10.774,0,0,0,0,0,0.0150322009322596,0,0,0,0,0.0708069620010248,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.802,0.125327748344456,0.0256426068470538,0,0,0,0.143213587206649,0.181130545446595,0.0694840385697041,0.153951002668324,0.10265454796681,2.84527211637712,0.0992978978149172,0.0241120793103198,0.0175005552982688,0,0.144297458955727,0.0076653171324596,0.0164392670610997,0.0291437579528086,0.0160041649869963,0,0.0140638677149721,0,0
evm.TU.HIC_ASM_10.984,0,0,0,0,0,0,0,0,0,0,0.904345104615254,0,0.50045943602841,0.339778947299791,0.210816912274819,0.191784554745973,0.172129463812092,0.110487082622604,0,0,0,0,0.0119893339088256,0.024295090752699
evm.TU.HIC_ASM_11.1002,0,0,0,0,0,0,0.00969257502674566,0.00735196432199701,0,0,0.190641827767577,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_11.1172,0,0,0,0.00252683028644661,0,0,0,0,0,0,0.0149503419419123,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_11.206,0.263633600949493,0,0,0,0.036868078299506,0,0,0.0928519500738048,0.28123809630438,0.181847618638654,0.669027370715537,0.0345458250846787,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_11.373,0,0,0,0,0,0,0,0,0,0,0.0579917809650173,0,0,0.0182429456592873,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_11.402,0,0,0,0,0,0.0398402645317911,0,0.0585469384524028,0,0,0.154123882987636,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_11.692,0,0.0690249926664928,0,0.518342094981554,0.82817443894763,0.400437738584887,0,0.100753434821036,0.12649143765378,0,3.98025866060071,0.605027108524101,0.675492887553887,0.787498774305641,0.666853525920805,0.499727023245025,0.894166375103233,0.661264060353822,0.446563266251519,0.281148660347025,0.426147366352924,0.666576944038352,0.191437157303729,0.365472692240279
evm.TU.HIC_ASM_11.900,0.0459000313744483,0,0,0,0.0276641189625246,0,0,0,0,0,0.431824040541117,0,0,0,0.0171565423125079,0,0.0227044321909123,0,0.0657882750787795,0.0302065768170675,0.0333908144978573,0,0.0305314848021141,0.0350852025479337
evm.TU.HIC_ASM_12.1002,0,0,0,0,0,0,0,0,0,0,0.0316652641176276,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_12.1199,0,0,0,0,0,0,0,0.0447247059129592,0,0,2.56176138461975,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_12.1280,0,0.246829432525332,0,0,0.0231351518086867,0.0568840589913868,0.193478655121159,0.259585451767701,0,0.00982249815641876,2.38345178443954,0,0.137163357801844,0,0.0121099887574751,0.0450971676036837,0.123702389835112,0.0405277666187581,0.0513572507611135,0.0397247137850161,0,0.032768537214129,0.113855604544041,0
evm.TU.HIC_ASM_12.347,0,0.285349541035452,0,0.66154287744284,2.06883759651731,0.595183131770948,0.271758321782627,0.715599092232846,0.224331336988829,0.784898698032511,3.06547632403144,2.05960793480516,0.41620488883777,0.300521668378452,0.304474438945858,0.308876517097698,0.350848731903833,0.226898538669203,0.0967642566574384,0.154276864027376,0.217698094796734,0.189486810130748,0.153325870574428,0.153165437718798
evm.TU.HIC_ASM_12.447,0.0302703874561712,0.132413646042002,0,0,0.0912764682061456,0,0,0.0680144844861556,0,0.0415378465343547,1.02783630331921,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_12.642,0,0.115835627125656,0,0,0,0,0.0713654506976865,0.119685961013003,0.0141714919199983,0,0.243194196526853,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_12.787,0.227405311408453,0.375026638235383,0,0.0549929128788562,0.561085606125338,0,0.0572829729392697,0.383353902892158,0.698969639994056,0.0188477854279771,1.86103441769766,0.0710747886690004,0.0809154836756578,0.0542182521122125,0.11328354138473,0.0862869329871936,0.0662430701813691,0.0514760513758967,0.0696105199361861,0.0799271500452117,0.124161355110011,0.0418223736182376,0.14584698227927,0.0910855068725208
evm.TU.HIC_ASM_12.832,0.250009565708627,0.697976156242327,0,0.235900213283758,1.18641054486471,0.455361154065756,0.265844921800175,0.979760751175034,0.513601575682636,0.177984957412229,3.12339868712152,0.969132680379059,0.441758252824091,0.387846299709776,0.297174978848146,0.288594808158226,0.437018173836564,0.278154092505361,0.243326643956058,0.129477781807828,0.204007962691329,0.14430224577317,0.12355098811955,0.292916394089115
evm.TU.HIC_ASM_12.901,0.187655012300282,0.185501227702778,0,0.400162269560702,1.25726854962454,0.370791451442125,0.211029227780734,0.620635203215144,0.162703742892719,0.127112891287617,2.64079381273952,0.667870029011657,0.881445882340775,0.643781091042059,0.536563888931452,0.541602062631972,0.851000194547182,0.489415170296775,0.37717040338318,0.288327059414787,0.506482787740601,0.356419549394421,0.238455897951065,0.476392057305643
evm.TU.HIC_ASM_12.965,0,0.0232468345184592,0,0,0.92264822402565,0,0,0.0707483535222967,0,0,5.46399425305958,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_13.1177,0,0,0,0,0,0,0,0,0,0,0.0181232770723213,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_13.1187,0.0690827539110398,0,0,0,0,0,0.319607915064474,0,0,0,1.0703554358388,0,0.185392544351376,0,0,0,0,0,0,0,0,0,0,0.140166989626303
evm.TU.HIC_ASM_13.1244,0.201740491210307,0,0,0.0515201337804429,0.0417298734317869,0,0,0,0,0.111209857560483,0.367782194161703,0.115216176535258,0.0432875701494471,0,0,0.0698043448605695,0,0,0,0.00959751438750399,0,0,0.0129190252935495,0.118310549880947
evm.TU.HIC_ASM_13.167,0.109347185575931,0,0,0,0.0594812656359505,0,0,0,0,0,0.20379544681017,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_13.391,0,0,0,0,0,0,0,0,0,0,0.0200012139748189,0,0,0,0,0,0,0,0,0,0,0,0,0
