,Pistil,Cabium,Bark,Old_leaf,Mature_xylem,Expanded_leaf,Young_leaf,Immature_xylem,Apex,Phloem,Root,Petiole,long1,long2,long3,long4,long5,long6,short1,short2,short3,short4,short5,short6
evm.TU.FRAGSCAFF_47__FRAGMENT_3.20,0,0,0,0.0584208688097319,0.0854110586858571,0.148588379710917,0.205610214635433,0.080202386101065,0.0754299445919279,0.206216436922532,0.561706405432716,0.71210298611375,0.0497673642665158,0.00241353195116845,0.0249328474727593,0.0612342644786011,0.0539352339213629,0.0153957536090107,0.0371493096982816,0,0.00926594473678504,0,0.0788070073047032,0.0337850023538194
evm.TU.FRAGSCAFF_68__FRAGMENT_3.2,0,0,0,0,0,0,0,0,0,0.0676685437363582,0.652533302872671,0.44888544922436,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_75__FRAGMENT_3.80,0,0,0,0,0,0,0,0,0,0,0,0.0197346459932552,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_7__FRAGMENT_1.11,0,0,0,0,0,0,0.012425648317959,0,0,0,0.0137390406062526,0.0940135100435205,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_90__FRAGMENT_1.46,0,0.303938522905949,0,0,0,0.0798648159106791,0.608769508887897,0.269213122509754,0.276936107041608,0.182860072558005,1.61005336544753,1.90326288603064,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_90__FRAGMENT_1.5,0.170460302280029,0.257593011397927,0.173158142405247,0.197947145948907,0.23166300862922,0.134555667958823,0.0977249497372539,0.153182735580614,0.147925329236446,0.176181901274575,0.116751996466722,1.25253535403388,0.151180811520377,0.151964861952711,0.128193962500157,0.174429004168896,0.145700929364647,0.173470738695889,0.151773109525327,0.139488705086266,0.179866001304109,0.160020481540805,0.157692669539773,0.179349255530362
evm.TU.HIC_ASM_0.110,0,0,0,0.0243140048674758,0,0,0.0642845925390938,0,0.0227782790540926,0,0,0.12254285386204,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.135,0,0,0,0,0,0.0109836388622807,0.0619309982342572,0.0311118991024449,0,0.0221499870995176,0,0.119542990797406,0,0,0.021693865737875,0,0,0,0,0.0221092589099864,0,0,0.0128022503399582,0
evm.TU.HIC_ASM_0.165,0,0,0,0,0,0,0,0,0.0583368171842316,0,0,0.0605371940804307,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.188,0,0,0,0.0214020230422233,0,0.386779683511236,0.119384510030326,0,0,0,0,1.00718234267346,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.428,0.199273438492064,0.106438778271806,0.190248214226779,0.256118970877275,0.798531402380265,0.819729758695441,0.856693072394609,0.5201241658654,0.53429705036711,1.88648303459445,3.20395008763457,3.1822744167882,0.256529236729324,0.320535510821284,0.241620153657999,0.411884291595547,0.40147282852287,0.333967123225618,0.297857769564458,0.265201628757222,0.226015216402988,0.258778998832532,0.432609556196821,0.390654113598088
evm.TU.HIC_ASM_0.44,0,0,0,0,0,0,0,0,0,0,0,0.0449508047916625,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.513,0.00464160998545236,0.0894608626564529,0.101529062115511,0.201782723308831,0.300723916682664,0.876451330074556,0.858590844044294,0.332776284406563,0.293464267517805,2.06442935202215,3.04218501804908,3.46986236562172,0.235885104395669,0.181929437690067,0.187233128855805,0.258738804226247,0.331930267395657,0.300415456342252,0.161782794795913,0.202477068173642,0.170145556624331,0.196448833711923,0.255323469271353,0.328740357552383
evm.TU.HIC_ASM_0.533,0,0.413597331718671,0,0,0,0.0911798625368141,0.24872345861297,0.534199422034891,0.0877185429042852,0.046441701088841,0.0445722443012735,0.654519863631264,0.0252674510988742,0,0,0,0.0930661233418847,0,0,0.0213911261578379,0,0,0,0
evm.TU.HIC_ASM_0.605,0,0,0,0,0,0,0.0214745152210215,0,0,0,0,0.0840901241848079,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.650,0,0,0,0,0,0.0479091939981748,0.077572524807814,0.00769593216541705,0.00793747309862866,0,0,0.367232008867653,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.771,0.062722018984041,0,0,0.187174840962915,0,1.48883682876171,0.785828392860897,0,0.334693738915585,0.454852502743116,1.1048018257831,2.04489440016794,0.232981183676667,0.129894919617047,0.0837843180433714,0,0.0801227779551133,0.0411878348960163,0,0,0,0,0,0
evm.TU.HIC_ASM_0.92,1.76594691637185,0.0418919789009458,1.73053475217149,0.631893997030093,0.0108690940666291,1.26614886618017,2.1273516460896,0.123388532708493,2.57950923939827,0.262286815588672,0.0650124952183956,3.77049195504363,0.675949282410433,0.411332594423,0.353648496128862,0.350727305219165,0.599170818915739,0.416676191542686,0.124006470801662,0.210648617193226,0.110132019420188,0.160323027591423,0.141865665291408,0.257039190528554
evm.TU.HIC_ASM_1.1039,0,0,0,0.0807149607338587,0,0,0.0712903873486228,0.0771408894322062,0,0,0,0.187916780258827,0,0,0,0.0337986260173104,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.105,0.0256362290775602,0,0,0.112117822918777,0,0.280012414881569,0.220547890630056,0,0.0180240215443762,0,0.0176321529650499,0.369462761534594,0.0765449581558847,0.0358289225376235,0.0314271935415346,0.0199039843307644,0,0.01651961534638,0,0,0,0,0,0
evm.TU.HIC_ASM_1.106,0,0,0,0.0275140899481917,0,0.311855704945308,0.157142905928739,0.0850447831219185,0.225910365569635,0,0.189390657451546,0.735476541487843,0.0738216040226504,0.0580656907880444,0.0257219722867025,0.065840192364907,0.100399556674237,0,0,0,0.0042856460044072,0,0,0.106686896983913
evm.TU.HIC_ASM_1.107,0,0,0,0.0265248298965363,0,0.11707971571829,0.140548329618226,0,0.00669681264086201,0,0,0.245049378141972,0.0381748714514458,0.0195505811377042,0.0206574653963654,0,0.00658814969654717,0.0593852762233906,0.00580333547706505,0,0.00417056815456438,0,0,0
