,Pistil,Cabium,Bark,Old_leaf,Mature_xylem,Expanded_leaf,Young_leaf,Immature_xylem,Apex,Phloem,Root,Petiole,long1,long2,long3,long4,long5,long6,short1,short2,short3,short4,short5,short6
evm.TU.FRAGSCAFF_58__FRAGMENT_1.3,0,0.0921884907582483,0.2666342440165,1.77319713759424,0,0.178919838201276,0,0,0,0.0231176419947462,0.147591519238184,0.0248194049004234,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_78__FRAGMENT_1.1,0,0,0,0.0166427456553095,0,0.00678727867047714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_94__FRAGMENT_3.13,0,0,0,1.42888811765501,0,0.192547272346643,0,0,0.401537996807573,0.160372083204944,0,0,0,0,0,0,0,0.0578273165325594,0,0,0.0853117925653092,0,0,0
evm.TU.HIC_ASM_0.147,0.141061278555194,0.0923671272090409,0.215333178105061,4.56571662398717,0.0259638214592215,2.8587166152545,1.79535635286767,0.0553724506154308,0.852535585258262,0.0398828332312661,0.104482934965988,0.330396625552807,0.190956136521046,0.10032105527665,0.0646943413697525,0.241492837171253,0.220772809140555,0.152635576126071,0.0714743760266486,0.131350222061022,0.0518351753139198,0,0.150794040893913,0.133069391066293
evm.TU.HIC_ASM_0.221,0,0,0,4.6691243409078,0,2.63596012209881,0.85229347408919,0,0.0307334559266939,0,0,0.215176180425724,0,0,0,0,0.524754090941857,0,0,0,0.235666614856803,0,0,0.385574241521622
evm.TU.HIC_ASM_0.369,0.429300478246067,0.0717235471629283,0,3.07879795802677,0,3.70735942697048,1.35295339433387,0,1.03623416943188,0,0,1.28698441917987,0.0112131793033981,0.0253803864075065,0.0409564715627356,0.0440009532504903,0.242071158545784,0,0,0.0381725292798498,0.0720989386565346,0.0809814087124557,0.105102762294222,0.0406236162676789
evm.TU.HIC_ASM_0.370,0.0566105786447887,0.0308198386766447,0.116846461877223,5.81368051118631,3.93547483473337,4.4134213622761,0.491358519825173,0.0343617625027528,0.189416805288846,0.357655593440509,0.0893399514680244,0.516755473215923,1.96366905959595,1.56771222747072,1.31040449769679,1.46289464864484,1.19976655857903,1.19632229584937,0.522063451886138,0.496678451823539,0.715192274412053,0.426368177332742,0.508348866500873,0.422140765379413
evm.TU.HIC_ASM_0.371,0,0,0,5.97312610197409,2.94696349382858,3.03564015456136,0.184871006130726,0,0.0385597957989061,0.0274032098961597,0.0309518735279071,0.158866952201852,0.311275629515895,0.238403720610043,0.203365310321799,0.29650165462684,0.178209384159873,0.255551490950112,0.23362141543145,0.132756688976855,0.233081430755838,0.14089249661413,0.0622414713537596,0.151718998388572
evm.TU.HIC_ASM_0.464,0,0,0,0.0390096801105545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069188980485186,0,0,0
evm.TU.HIC_ASM_0.619,0,0,0,0.0878488656567109,0,0,0,0,0,0,0.0485547335451219,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.104,1.29291953474577,0,0,1.86901263853985,0,1.47197541561834,0.618721978970585,0,0.101566264237835,0,0,0.0162581093544697,0,0,0.0144043337760647,0,0.0479552471589596,0.0304104778427207,0,0,0,0,0,0
evm.TU.HIC_ASM_10.461,0,0,0,0.0655851779221227,0,0,0.00134012149727468,0,0,0,0.0434313019677585,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.476,0,0,0,0.0722594967826686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.619,0,0,0,0.0368699542945586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.871,0,0,0,1.57246399022243,0,2.09186239953154,0.281693107716308,0,0,0,0,0.0394524067106892,0.40855571874326,0.238137908018673,0.16271491314411,0.174713631920812,0.193125355747622,0.0354282529413187,0.112884252251482,0.0934344250036533,0,0.0768983519395182,0.0533379782145942,0.016908934424729
evm.TU.HIC_ASM_11.1181,0.034822815671582,0.481854830091679,0.318059953664243,2.88266815360209,0.0723098109243585,1.20717694741453,0.100503622005598,0.419753886133117,0.0750186691109217,0.13254087124455,0.0899446297578737,0.0275971272740795,0.0972997517552265,0.00984494588568566,0.0175960472514677,0.0449470751545697,0.0569839136192871,0.0096706021344946,0.164293712547556,0.0893932899460105,0.106718605700943,0.0722768785293894,0.121161763074283,0.0352433638596935
evm.TU.HIC_ASM_11.1342,0,0,0.0496711904976037,0.164858346746717,0.0346552195308667,0.1238921727289,0.0695248258973505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023837281628
evm.TU.HIC_ASM_11.1394,0,0,0,0.0397658824225401,0.0271441409051269,0,0,0,0,0,0,0,0,0,0.00413844109530464,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_11.351,0,0,0,0.0553530132798968,0,0.0364869222642495,0,0,0,0,0,0.0473601633886446,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_11.827,0.851353676314784,0.260238279686828,1.15009885037918,5.79705127621054,0.96468892905932,6.00839469912104,2.88356757770601,0.386399687223407,1.2742093701818,0.555634906829837,0.31039945604283,1.08896811593656,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_11.935,0,0.0983292685889533,0.773339791688551,1.86966008502059,0.0212418649563207,0.391595436267107,0,0.0338911668463424,0.246548752428485,0.389916980730962,0.153973910818964,0.127568571586409,0.110548997599456,0.219680493163887,0.0927793506004303,0.108503491799678,0.0779835295024935,0.185777761346206,0.340559990335507,0.480031031740063,0.258942575251936,0.353556663641543,0.339528513238597,0.592910335759134
evm.TU.HIC_ASM_12.1023,0,0,0,0.543182729681283,0,0.325280099201287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202987686822324
evm.TU.HIC_ASM_12.1268,0,0,0,1.09873193291271,0,0,0.230634240934223,0,0,0,0,0,0.0971882637617278,0,0,0,0.0509859396038601,0,0.138588197004025,0.0751542524909385,0.15427383827152,0.146757305798259,0,0
evm.TU.HIC_ASM_12.1285,0.265958908371855,0,0,0.715893956409034,0.288462908537562,0.0490800688733023,0.0720216269762342,0.122051557743981,0,0.0852075326680745,0.112666775252953,0.037162901629096,0.17066902603672,0.0612978692134886,0,0.0294133061026954,0,0.0983589164043636,0,0.0333889339732753,0,0.213007942353298,0.15912753541598,0.030535251892971
evm.TU.HIC_ASM_12.405,0.0550199929972049,0,0,0.888680783257913,0,0.837965571812591,0.150053127614138,0,0.0530047232666882,0,0,0.051496933122409,0,0,0.0288958431997693,0.020180005903766,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_13.1111,0,0,0,1.15900974016784,0.21208119892688,0.252391032967651,0.207465184691286,0.0718578387350248,0.206580297854162,0,0,0,0,0,0.117890048617603,0,0.116022674971538,0,0.231566349214403,0.0827716122585386,0.196729991470641,0.150505954030887,0.146622640562741,0.0305183020253983
evm.TU.HIC_ASM_13.1112,0,0,0,0.99154101409919,0.1301045420921,0.228748926078543,0.0187072797542381,0.0102246100810479,0.170546829275569,0.0338122495521516,0.00952442293765917,0.00944798251778039,0,0,0,0,0.0487951105365998,0,0.0827448205783009,0.0762434777398713,0.0631770911276545,0.12860707322287,0.0388631674339011,0.00924157573156839
evm.TU.HIC_ASM_13.928,0,0,0,0.0340837435633141,0,0,0,0,0,0,0,0,0,0,0,0.0204958008630846,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.1150,0,0,0,0.0936413001255592,0,0.0714711729020785,0,0,0,0,0,0.056774025056365,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.182,0,0.0919225250631385,0,1.90816255600218,0,3.15675309314437,0.309639157744657,0,0.031116606423407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.271,0,0,0,0.00580477237971129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.313,0,0,0,0.447410276823999,0,0.196998926795445,0.0263071576072587,0,0.0209376085942957,0,0,0.0197830304036307,0.0205360995767932,0,0,0,0,0.0649637657497592,0.0191690926469673,0.0296606613165485,0,0,0,0.00920526084963737
evm.TU.HIC_ASM_14.314,0,0,0,0.794028739179215,0,0.516794798722797,0.123990143438201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400699364918062,0,0
evm.TU.HIC_ASM_14.647,0,0,0,0.0713462276463096,0,0,0,0,0,0,0,0.027827341301176,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.786,0,0,0,0.0416579252090305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_15.1230,0,0.0418022861652046,0.598593883902977,1.65067082684011,0,1.18852309588602,0.213309950058009,0,0,0,0,0.678631742488968,0.0359021006643286,0.0395862267949324,0.0284437355287014,0,0,0.015214940191427,0,0,0,0,0,0.0488978500186146
evm.TU.HIC_ASM_15.1628,0,0,0,0.194890147377611,0,0.246432815648379,0,0,0,0,0,0,0,0,0.0257744077712336,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_15.1663,0.00545316705287788,0,0,0.376002112294385,0,0,0.010629952494133,0.0166879053485816,0.111165333868608,0.0491507192566175,0.0380877575310147,0,0.122894433579276,0,0.0241749768609853,0,0.0108199329466211,0.057724286473114,0,0,0.0674455190895922,0.0466614774293194,0.0657662207625773,0.0345143673815105
