nodeName	altName	nodeAttr[nodesPresent, ]
evm.TU.FRAGSCAFF_21__FRAGMENT_1.14	NA	purple
evm.TU.FRAGSCAFF_27__FRAGMENT_2.13	NA	purple
evm.TU.FRAGSCAFF_44__FRAGMENT_2.18	NA	purple
evm.TU.FRAGSCAFF_49__FRAGMENT_1.15	NA	purple
evm.TU.FRAGSCAFF_49__FRAGMENT_1.19	NA	purple
evm.TU.FRAGSCAFF_49__FRAGMENT_2.2	NA	purple
evm.TU.FRAGSCAFF_75__FRAGMENT_3.53	NA	purple
evm.TU.FRAGSCAFF_75__FRAGMENT_3.57	NA	purple
evm.TU.FRAGSCAFF_75__FRAGMENT_3.7	NA	purple
evm.TU.HIC_ASM_0.109	NA	purple
evm.TU.HIC_ASM_0.191	NA	purple
evm.TU.HIC_ASM_0.245	NA	purple
evm.TU.HIC_ASM_0.268	NA	purple
evm.TU.HIC_ASM_0.307	NA	purple
evm.TU.HIC_ASM_0.313	NA	purple
evm.TU.HIC_ASM_0.326	NA	purple
evm.TU.HIC_ASM_0.332	NA	purple
evm.TU.HIC_ASM_0.39	NA	purple
evm.TU.HIC_ASM_0.45	NA	purple
evm.TU.HIC_ASM_0.454	NA	purple
evm.TU.HIC_ASM_0.466	NA	purple
evm.TU.HIC_ASM_0.48	NA	purple
evm.TU.HIC_ASM_0.514	NA	purple
evm.TU.HIC_ASM_0.562	NA	purple
evm.TU.HIC_ASM_0.586	NA	purple
evm.TU.HIC_ASM_0.688	NA	purple
evm.TU.HIC_ASM_0.975	NA	purple
evm.TU.HIC_ASM_1.1160	NA	purple
evm.TU.HIC_ASM_1.1187	NA	purple
evm.TU.HIC_ASM_1.1274	NA	purple
evm.TU.HIC_ASM_1.1560	NA	purple
evm.TU.HIC_ASM_1.1614	NA	purple
evm.TU.HIC_ASM_1.1721	NA	purple
evm.TU.HIC_ASM_1.1738	NA	purple
evm.TU.HIC_ASM_1.251	NA	purple
evm.TU.HIC_ASM_1.2522	NA	purple
evm.TU.HIC_ASM_1.465	NA	purple
evm.TU.HIC_ASM_1.824	NA	purple
evm.TU.HIC_ASM_1.842	NA	purple
evm.TU.HIC_ASM_1.844	NA	purple
evm.TU.HIC_ASM_1.845	NA	purple
evm.TU.HIC_ASM_1.902	NA	purple
evm.TU.HIC_ASM_10.359	NA	purple
evm.TU.HIC_ASM_10.369	NA	purple
