GeneID	Module	ParentDir			black	78
evm.TU.FRAGSCAFF_104__FRAGMENT_1.8	tan	95			blue	346
evm.TU.FRAGSCAFF_17__FRAGMENT_2.17	tan	95			brown	334
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	tan	95			cyan	0
evm.TU.FRAGSCAFF_27__FRAGMENT_2.25	tan	95			green	71
evm.TU.FRAGSCAFF_27__FRAGMENT_2.3	tan	95			greenyellow	63
evm.TU.FRAGSCAFF_29__FRAGMENT_4.1	tan	95			lightcyan	0
evm.TU.FRAGSCAFF_29__FRAGMENT_4.31	tan	95			magenta	76
evm.TU.FRAGSCAFF_44__FRAGMENT_2.23	tan	95			midnightblue	0
evm.TU.FRAGSCAFF_44__FRAGMENT_2.40	tan	95			pink	222
evm.TU.HIC_ASM_0.10	tan	95			purple	269
evm.TU.HIC_ASM_0.198	tan	95			red	366
evm.TU.HIC_ASM_0.209	tan	95			salmon	323
evm.TU.HIC_ASM_0.210	tan	95			tan	399
evm.TU.HIC_ASM_0.253	tan	95			turquoise	222
evm.TU.HIC_ASM_0.347	tan	95			yellow	275
evm.TU.HIC_ASM_0.435	tan	95				
evm.TU.HIC_ASM_0.506	tan	95				
evm.TU.HIC_ASM_0.509	tan	95				
evm.TU.HIC_ASM_0.543	tan	95				
evm.TU.HIC_ASM_0.585	tan	95				
evm.TU.HIC_ASM_0.590	tan	95				
evm.TU.HIC_ASM_0.620	tan	95				
evm.TU.HIC_ASM_0.78	tan	95				
evm.TU.HIC_ASM_0.82	tan	95				
evm.TU.HIC_ASM_0.899	tan	95				
evm.TU.HIC_ASM_0.935	tan	95				
evm.TU.HIC_ASM_1.1019	tan	95				
evm.TU.HIC_ASM_1.110	tan	95				
evm.TU.HIC_ASM_1.1107	tan	95				
evm.TU.HIC_ASM_1.1112	tan	95				
evm.TU.HIC_ASM_1.1297	tan	95				
evm.TU.HIC_ASM_1.1444	tan	95				
evm.TU.HIC_ASM_1.1475	tan	95				
evm.TU.HIC_ASM_1.1488	tan	95				
evm.TU.HIC_ASM_1.1668	tan	95				
evm.TU.HIC_ASM_1.1774	tan	95				
evm.TU.HIC_ASM_1.1793	tan	95				
evm.TU.HIC_ASM_1.1850	tan	95				
evm.TU.HIC_ASM_1.1854	tan	95				
evm.TU.HIC_ASM_1.1872	tan	95				
evm.TU.HIC_ASM_1.2029	tan	95				
evm.TU.HIC_ASM_1.2536	tan	95				
evm.TU.HIC_ASM_1.2680	tan	95				
evm.TU.HIC_ASM_1.291	tan	95				
evm.TU.HIC_ASM_1.336	tan	95				
evm.TU.HIC_ASM_1.681	tan	95				
evm.TU.HIC_ASM_1.82	tan	95				
evm.TU.HIC_ASM_1.93	tan	95				
evm.TU.HIC_ASM_10.1078	tan	95				
evm.TU.HIC_ASM_10.112	tan	95				
evm.TU.HIC_ASM_10.312	tan	95				
evm.TU.HIC_ASM_10.323	tan	95				
evm.TU.HIC_ASM_10.371	tan	95				
evm.TU.HIC_ASM_10.437	tan	95				
evm.TU.HIC_ASM_10.800	tan	95				
evm.TU.HIC_ASM_10.803	tan	95				
evm.TU.HIC_ASM_11.1029	tan	95				
evm.TU.HIC_ASM_11.1163	tan	95				
evm.TU.HIC_ASM_11.1405	tan	95				
evm.TU.HIC_ASM_11.282	tan	95				
evm.TU.HIC_ASM_11.425	tan	95				
evm.TU.HIC_ASM_11.511	tan	95				
evm.TU.HIC_ASM_11.736	tan	95				
evm.TU.HIC_ASM_11.737	tan	95				
evm.TU.HIC_ASM_11.961	tan	95				
evm.TU.HIC_ASM_12.1198	tan	95				
evm.TU.HIC_ASM_12.1201	tan	95				
evm.TU.HIC_ASM_12.1261	tan	95				
evm.TU.HIC_ASM_12.137	tan	95				
evm.TU.HIC_ASM_12.138	tan	95				
evm.TU.HIC_ASM_12.166	tan	95				
evm.TU.HIC_ASM_12.238	tan	95				
evm.TU.HIC_ASM_12.262	tan	95				
evm.TU.HIC_ASM_12.31	tan	95				
evm.TU.HIC_ASM_12.312	tan	95				
evm.TU.HIC_ASM_12.41	tan	95				
evm.TU.HIC_ASM_12.509	tan	95				
evm.TU.HIC_ASM_12.53	tan	95				
evm.TU.HIC_ASM_12.800	tan	95				
evm.TU.HIC_ASM_13.1001	tan	95				
evm.TU.HIC_ASM_13.1142	tan	95				
evm.TU.HIC_ASM_13.1196	tan	95				
evm.TU.HIC_ASM_13.1197	tan	95				
evm.TU.HIC_ASM_13.1198	tan	95				
evm.TU.HIC_ASM_13.1216	tan	95				
evm.TU.HIC_ASM_13.1265	tan	95				
evm.TU.HIC_ASM_13.1266	tan	95				
evm.TU.HIC_ASM_13.1293	tan	95				
evm.TU.HIC_ASM_13.1298	tan	95				
evm.TU.HIC_ASM_13.1327	tan	95				
evm.TU.HIC_ASM_13.1335	tan	95				
evm.TU.HIC_ASM_13.2	tan	95				
evm.TU.HIC_ASM_13.284	tan	95				
evm.TU.HIC_ASM_13.426	tan	95				
evm.TU.HIC_ASM_13.551	tan	95				
evm.TU.HIC_ASM_13.603	tan	95				
evm.TU.HIC_ASM_13.652	tan	95				
evm.TU.HIC_ASM_13.80	tan	95				
evm.TU.HIC_ASM_13.912	tan	95				
evm.TU.HIC_ASM_14.1175	tan	95				
evm.TU.HIC_ASM_14.1187	tan	95				
evm.TU.HIC_ASM_14.213	tan	95				
evm.TU.HIC_ASM_14.268	tan	95				
evm.TU.HIC_ASM_14.288	tan	95				
evm.TU.HIC_ASM_14.342	tan	95				
evm.TU.HIC_ASM_14.372	tan	95				
evm.TU.HIC_ASM_14.376	tan	95				
evm.TU.HIC_ASM_14.446	tan	95				
evm.TU.HIC_ASM_14.449	tan	95				
evm.TU.HIC_ASM_14.480	tan	95				
evm.TU.HIC_ASM_14.492	tan	95				
evm.TU.HIC_ASM_14.54	tan	95				
evm.TU.HIC_ASM_14.627	tan	95				
evm.TU.HIC_ASM_14.892	tan	95				
evm.TU.HIC_ASM_14.893	tan	95				
evm.TU.HIC_ASM_15.1224	tan	95				
evm.TU.HIC_ASM_15.1328	tan	95				
evm.TU.HIC_ASM_15.1560	tan	95				
evm.TU.HIC_ASM_15.1683	tan	95				
evm.TU.HIC_ASM_15.1751	tan	95				
evm.TU.HIC_ASM_15.2172	tan	95				
evm.TU.HIC_ASM_15.2196	tan	95				
evm.TU.HIC_ASM_15.2311	tan	95				
evm.TU.HIC_ASM_15.2386	tan	95				
evm.TU.HIC_ASM_15.2480	tan	95				
evm.TU.HIC_ASM_15.2515	tan	95				
evm.TU.HIC_ASM_15.2533	tan	95				
evm.TU.HIC_ASM_15.2579	tan	95				
evm.TU.HIC_ASM_15.2639	tan	95				
evm.TU.HIC_ASM_15.2735	tan	95				
evm.TU.HIC_ASM_15.545	tan	95				
evm.TU.HIC_ASM_15.562	tan	95				
evm.TU.HIC_ASM_15.785	tan	95				
evm.TU.HIC_ASM_15.860	tan	95				
evm.TU.HIC_ASM_15.942	tan	95				
evm.TU.HIC_ASM_16.1039	tan	95				
evm.TU.HIC_ASM_16.1113	tan	95				
evm.TU.HIC_ASM_16.1115	tan	95				
evm.TU.HIC_ASM_16.1314	tan	95				
evm.TU.HIC_ASM_16.1371	tan	95				
evm.TU.HIC_ASM_16.1375	tan	95				
evm.TU.HIC_ASM_16.249	tan	95				
evm.TU.HIC_ASM_16.291	tan	95				
evm.TU.HIC_ASM_16.306	tan	95				
evm.TU.HIC_ASM_16.308	tan	95				
evm.TU.HIC_ASM_16.649	tan	95				
evm.TU.HIC_ASM_16.676	tan	95				
evm.TU.HIC_ASM_16.699	tan	95				
evm.TU.HIC_ASM_16.784	tan	95				
evm.TU.HIC_ASM_16.964	tan	95				
evm.TU.HIC_ASM_17.1136	tan	95				
evm.TU.HIC_ASM_17.1161	tan	95				
evm.TU.HIC_ASM_17.1237	tan	95				
evm.TU.HIC_ASM_17.1267	tan	95				
evm.TU.HIC_ASM_17.1268	tan	95				
evm.TU.HIC_ASM_17.338	tan	95				
evm.TU.HIC_ASM_17.368	tan	95				
evm.TU.HIC_ASM_17.483	tan	95				
evm.TU.HIC_ASM_17.510	tan	95				
evm.TU.HIC_ASM_17.565	tan	95				
evm.TU.HIC_ASM_17.634	tan	95				
evm.TU.HIC_ASM_17.654	tan	95				
evm.TU.HIC_ASM_17.830	tan	95				
evm.TU.HIC_ASM_17.909	tan	95				
evm.TU.HIC_ASM_17.95	tan	95				
evm.TU.HIC_ASM_18.1093	tan	95				
evm.TU.HIC_ASM_18.1205	tan	95				
evm.TU.HIC_ASM_18.1212	tan	95				
evm.TU.HIC_ASM_18.210	tan	95				
evm.TU.HIC_ASM_18.420	tan	95				
evm.TU.HIC_ASM_18.51	tan	95				
evm.TU.HIC_ASM_18.591	tan	95				
evm.TU.HIC_ASM_18.64	tan	95				
evm.TU.HIC_ASM_18.733	tan	95				
evm.TU.HIC_ASM_18.788	tan	95				
evm.TU.HIC_ASM_18.878	tan	95				
evm.TU.HIC_ASM_18.947	tan	95				
evm.TU.HIC_ASM_18.948	tan	95				
evm.TU.HIC_ASM_18.955	tan	95				
evm.TU.HIC_ASM_2.1029	tan	95				
evm.TU.HIC_ASM_2.1033	tan	95				
evm.TU.HIC_ASM_2.1212	tan	95				
evm.TU.HIC_ASM_2.1221	tan	95				
evm.TU.HIC_ASM_2.158	tan	95				
evm.TU.HIC_ASM_2.345	tan	95				
evm.TU.HIC_ASM_2.394	tan	95				
evm.TU.HIC_ASM_2.447	tan	95				
evm.TU.HIC_ASM_2.467	tan	95				
evm.TU.HIC_ASM_2.540	tan	95				
evm.TU.HIC_ASM_2.556	tan	95				
evm.TU.HIC_ASM_2.559	tan	95				
evm.TU.HIC_ASM_2.655	tan	95				
evm.TU.HIC_ASM_2.893	tan	95				
evm.TU.HIC_ASM_2.924	tan	95				
evm.TU.HIC_ASM_3.1004	tan	95				
evm.TU.HIC_ASM_3.1109	tan	95				
evm.TU.HIC_ASM_3.1131	tan	95				
evm.TU.HIC_ASM_3.1183	tan	95				
