,Pistil,Cabium,Bark,Old_leaf,Mature_xylem,Expanded_leaf,Young_leaf,Immature_xylem,Apex,Phloem,Root,Petiole,long1,long2,long3,long4,long5,long6,short1,short2,short3,short4,short5,short6
evm.TU.FRAGSCAFF_58__FRAGMENT_1.3,0,0.0921884907582483,0.2666342440165,1.77319713759424,0,0.178919838201276,0,0,0,0.0231176419947462,0.147591519238184,0.0248194049004234,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_78__FRAGMENT_1.1,0,0,0,0.0166427456553095,0,0.00678727867047714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.FRAGSCAFF_94__FRAGMENT_3.13,0,0,0,1.42888811765501,0,0.192547272346643,0,0,0.401537996807573,0.160372083204944,0,0,0,0,0,0,0,0.0578273165325594,0,0,0.0853117925653092,0,0,0
evm.TU.HIC_ASM_0.147,0.141061278555194,0.0923671272090409,0.215333178105061,4.56571662398717,0.0259638214592215,2.8587166152545,1.79535635286767,0.0553724506154308,0.852535585258262,0.0398828332312661,0.104482934965988,0.330396625552807,0.190956136521046,0.10032105527665,0.0646943413697525,0.241492837171253,0.220772809140555,0.152635576126071,0.0714743760266486,0.131350222061022,0.0518351753139198,0,0.150794040893913,0.133069391066293
evm.TU.HIC_ASM_0.221,0,0,0,4.6691243409078,0,2.63596012209881,0.85229347408919,0,0.0307334559266939,0,0,0.215176180425724,0,0,0,0,0.524754090941857,0,0,0,0.235666614856803,0,0,0.385574241521622
evm.TU.HIC_ASM_0.371,0,0,0,5.97312610197409,2.94696349382858,3.03564015456136,0.184871006130726,0,0.0385597957989061,0.0274032098961597,0.0309518735279071,0.158866952201852,0.311275629515895,0.238403720610043,0.203365310321799,0.29650165462684,0.178209384159873,0.255551490950112,0.23362141543145,0.132756688976855,0.233081430755838,0.14089249661413,0.0622414713537596,0.151718998388572
evm.TU.HIC_ASM_0.464,0,0,0,0.0390096801105545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069188980485186,0,0,0
evm.TU.HIC_ASM_0.619,0,0,0,0.0878488656567109,0,0,0,0,0,0,0.0485547335451219,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.461,0,0,0,0.0655851779221227,0,0,0.00134012149727468,0,0,0,0.0434313019677585,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.476,0,0,0,0.0722594967826686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.619,0,0,0,0.0368699542945586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_11.1181,0.034822815671582,0.481854830091679,0.318059953664243,2.88266815360209,0.0723098109243585,1.20717694741453,0.100503622005598,0.419753886133117,0.0750186691109217,0.13254087124455,0.0899446297578737,0.0275971272740795,0.0972997517552265,0.00984494588568566,0.0175960472514677,0.0449470751545697,0.0569839136192871,0.0096706021344946,0.164293712547556,0.0893932899460105,0.106718605700943,0.0722768785293894,0.121161763074283,0.0352433638596935
evm.TU.HIC_ASM_12.1268,0,0,0,1.09873193291271,0,0,0.230634240934223,0,0,0,0,0,0.0971882637617278,0,0,0,0.0509859396038601,0,0.138588197004025,0.0751542524909385,0.15427383827152,0.146757305798259,0,0
evm.TU.HIC_ASM_13.928,0,0,0,0.0340837435633141,0,0,0,0,0,0,0,0,0,0,0,0.0204958008630846,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.271,0,0,0,0.00580477237971129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.647,0,0,0,0.0713462276463096,0,0,0,0,0,0,0,0.027827341301176,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.786,0,0,0,0.0416579252090305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_16.192,0,0,0,0.0638047956984731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_16.327,0,0,0,0.063638691451852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_16.431,0,0,0,0.0391880035103225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_2.1045,0,0,0,0.0142081591486221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_3.1005,0.0201181190614989,0,0,0.228395130005184,0,0,0,0,0,0,0,0.0180738880925102,0,0,0,0.0235018734456726,0,0,0.0223876998876444,0.0545669701818048,0,0,0,0
evm.TU.HIC_ASM_3.1126,0,0,0,0.0522572863637993,0.0140157668870314,0,0,0,0,0,0,0,0,0,0,0.0100359853397632,0,0,0,0,0,0,0,0.00738689055736221
evm.TU.HIC_ASM_3.1552,0,0,0,0.0263364347256029,0,0,0.00661495753518776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_3.477,0,0,0,0.0869214174060793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_3.538,0,0,0,0.0182481695368429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_3.900,0,0,0,4.1569749702353,0,0.0744140942980326,3.29364455654248,0.0955491017362034,0.13514694737592,0.120193106426655,0.0429281800434716,0.417224409303693,0,0.0383467416245727,0,0,0,0,0.055223887188455,0,0,0.0446361220827427,0.0695898987308247,0.070852290009336
evm.TU.HIC_ASM_5.1017,0,0,0,0.596199220312128,0,0.169484217067205,0.039832780181003,0,0.0780577889417515,0,0.0966059534927959,0,0,0,0,0,0,0,0,0,0,0,0,0.0118357584670606
evm.TU.HIC_ASM_5.1129,0,0,0,2.07649045877021,0,0.526139942794511,0.0449969524843995,0,0,0,0,0,0,0,0,0,0,0,0.0731095628444287,0.0526213167951984,0,0.0299555480107214,0,0.0517113015745768
evm.TU.HIC_ASM_6.2383,0,0,0,1.09539944200285,0.0184570906134767,0.524235892987136,0.0809177574732842,0.0337624533366934,0,0,0,0,0.0103248820567499,0.0752984951093112,0.0196174735745331,0.0220718457010568,0.0110690647457097,0.0641516640583408,0.0200054824640084,0.00504109544230287,0.0203554556075662,0.0245504167647566,0.0207408968753551,0.0491888311270269
evm.TU.HIC_ASM_7.251,0,0,0,0.0465962924204517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_8.1571,0,0,0,0.572119702020139,0,0.0999859164987495,0.0812437177703168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_8.1575,0,0,0,0.125107509198577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_8.1833,0,0,0,3.02962367857801,0,1.22047153451899,0.0986634450541893,0,0.0163199237765387,0,0,0,0.112885586365023,0.114016026864457,0.119342453275568,0.10457776030926,0.126540335663912,0.112299791878912,0.173459652692767,0.216964698444093,0.0165414855993422,0.0548929203460108,0.0939409690002509,0.205898347297744
evm.TU.HIC_ASM_8.476,0,0,0,0.0151154829373372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_8.792,0,0,0,0.0359837180423066,0,0,0,0,0,0,0,0,0,0,0,0.014427187393087,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_8.899,0,0,0,0.017805537303148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.ORIGINAL_247__FRAGMENT_2.42,0,0,0,0.0203450245055874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.ORIGINAL_247__FRAGMENT_2.50,0,0,0,0.0283668778302981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.ORIGINAL_469__FRAGMENT_1.3,0,0,0,0.374365877769939,0,0.040464175202513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.ORIGINAL_469__FRAGMENT_1.4,0.0380828396528421,0,0,2.15947246569059,0,1.40219516570106,0.204288485266886,0,0.110154742489795,0,0.0263260453618637,0.0483687289151066,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.ORIGINAL_469__FRAGMENT_1.5,0,0.0226497546740615,0,2.33569380992858,0,1.65529060803806,0.207238181738378,0,0.201731292484593,0,0.021405814047013,0.116127393868796,0,0,0.0137990582487729,0,0,0,0.0137123648206545,0,0,0.0159095193300528,0,0
