GeneID	Module	ParentDir		black	57
evm.TU.FRAGSCAFF_104__FRAGMENT_2.3	magenta	97		blue	225
evm.TU.HIC_ASM_0.504	magenta	97		brown	184
evm.TU.HIC_ASM_0.647	magenta	97		cyan	0
evm.TU.HIC_ASM_0.713	magenta	97		green	45
evm.TU.HIC_ASM_0.973	magenta	97		greenyellow	42
evm.TU.HIC_ASM_1.189	magenta	97		lightcyan	0
evm.TU.HIC_ASM_1.2201	magenta	97		magenta	48
evm.TU.HIC_ASM_11.618	magenta	97		midnightblue	0
evm.TU.HIC_ASM_12.1319	magenta	97		pink	104
evm.TU.HIC_ASM_12.486	magenta	97		purple	139
evm.TU.HIC_ASM_13.293	magenta	97		red	205
evm.TU.HIC_ASM_14.178	magenta	97		salmon	179
evm.TU.HIC_ASM_14.486	magenta	97		tan	260
evm.TU.HIC_ASM_14.673	magenta	97		turquoise	121
evm.TU.HIC_ASM_15.1107	magenta	97		yellow	174
evm.TU.HIC_ASM_15.1226	magenta	97			
evm.TU.HIC_ASM_15.1327	magenta	97			
evm.TU.HIC_ASM_15.1498	magenta	97			
evm.TU.HIC_ASM_15.1931	magenta	97			
evm.TU.HIC_ASM_16.659	magenta	97			
evm.TU.HIC_ASM_17.1349	magenta	97			
evm.TU.HIC_ASM_17.1402	magenta	97			
evm.TU.HIC_ASM_2.1307	magenta	97			
evm.TU.HIC_ASM_2.368	magenta	97			
evm.TU.HIC_ASM_2.792	magenta	97			
evm.TU.HIC_ASM_4.1379	magenta	97			
evm.TU.HIC_ASM_4.1621	magenta	97			
evm.TU.HIC_ASM_4.879	magenta	97			
evm.TU.HIC_ASM_5.1307	magenta	97			
evm.TU.HIC_ASM_5.471	magenta	97			
evm.TU.HIC_ASM_6.1471	magenta	97			
evm.TU.HIC_ASM_6.177	magenta	97			
evm.TU.HIC_ASM_6.1862	magenta	97			
evm.TU.HIC_ASM_6.2095	magenta	97			
evm.TU.HIC_ASM_6.3508	magenta	97			
evm.TU.HIC_ASM_7.1509	magenta	97			
evm.TU.HIC_ASM_7.173	magenta	97			
evm.TU.HIC_ASM_7.554	magenta	97			
evm.TU.HIC_ASM_9.1762	magenta	97			
evm.TU.ORIGINAL_378.2	magenta	97			
PB.20327	magenta	97			
PB.9670	magenta	97			
PB.3510	magenta	97			
PB.23181	magenta	97			
PB.4847	magenta	97			
PB.2656	magenta	97			
PB.22001	magenta	97			
PB.7943	magenta	97			
evm.TU.FRAGSCAFF_17__FRAGMENT_2.1	brown	97			
evm.TU.FRAGSCAFF_29__FRAGMENT_4.34	brown	97			
evm.TU.FRAGSCAFF_5__FRAGMENT_5.3	brown	97			
evm.TU.FRAGSCAFF_60.8	brown	97			
evm.TU.FRAGSCAFF_75__FRAGMENT_3.13	brown	97			
evm.TU.HIC_ASM_0.149	brown	97			
evm.TU.HIC_ASM_0.180	brown	97			
evm.TU.HIC_ASM_0.2	brown	97			
evm.TU.HIC_ASM_0.460	brown	97			
evm.TU.HIC_ASM_0.482	brown	97			
evm.TU.HIC_ASM_0.483	brown	97			
evm.TU.HIC_ASM_0.632	brown	97			
evm.TU.HIC_ASM_0.705	brown	97			
evm.TU.HIC_ASM_1.1676	brown	97			
evm.TU.HIC_ASM_1.1678	brown	97			
evm.TU.HIC_ASM_1.1802	brown	97			
evm.TU.HIC_ASM_1.2066	brown	97			
evm.TU.HIC_ASM_1.2541	brown	97			
evm.TU.HIC_ASM_1.442	brown	97			
evm.TU.HIC_ASM_1.559	brown	97			
evm.TU.HIC_ASM_1.641	brown	97			
evm.TU.HIC_ASM_1.71	brown	97			
evm.TU.HIC_ASM_1.816	brown	97			
evm.TU.HIC_ASM_1.969	brown	97			
evm.TU.HIC_ASM_10.156	brown	97			
evm.TU.HIC_ASM_10.354	brown	97			
evm.TU.HIC_ASM_10.383	brown	97			
evm.TU.HIC_ASM_10.463	brown	97			
evm.TU.HIC_ASM_10.982	brown	97			
evm.TU.HIC_ASM_11.1173	brown	97			
evm.TU.HIC_ASM_11.238	brown	97			
evm.TU.HIC_ASM_11.239	brown	97			
evm.TU.HIC_ASM_11.277	brown	97			
evm.TU.HIC_ASM_11.706	brown	97			
evm.TU.HIC_ASM_11.71	brown	97			
evm.TU.HIC_ASM_11.743	brown	97			
evm.TU.HIC_ASM_11.744	brown	97			
evm.TU.HIC_ASM_12.1345	brown	97			
evm.TU.HIC_ASM_12.211	brown	97			
evm.TU.HIC_ASM_12.300	brown	97			
evm.TU.HIC_ASM_12.567	brown	97			
evm.TU.HIC_ASM_12.989	brown	97			
evm.TU.HIC_ASM_13.1020	brown	97			
evm.TU.HIC_ASM_13.1192	brown	97			
evm.TU.HIC_ASM_13.1309	brown	97			
evm.TU.HIC_ASM_13.1374	brown	97			
evm.TU.HIC_ASM_13.181	brown	97			
evm.TU.HIC_ASM_13.759	brown	97			
evm.TU.HIC_ASM_14.1046	brown	97			
evm.TU.HIC_ASM_14.1095	brown	97			
evm.TU.HIC_ASM_14.150	brown	97			
evm.TU.HIC_ASM_14.320	brown	97			
evm.TU.HIC_ASM_14.387	brown	97			
evm.TU.HIC_ASM_14.646	brown	97			
evm.TU.HIC_ASM_14.997	brown	97			
evm.TU.HIC_ASM_15.1555	brown	97			
evm.TU.HIC_ASM_15.1602	brown	97			
evm.TU.HIC_ASM_15.1825	brown	97			
evm.TU.HIC_ASM_15.2018	brown	97			
evm.TU.HIC_ASM_15.2507	brown	97			
evm.TU.HIC_ASM_15.2568	brown	97			
evm.TU.HIC_ASM_15.2638	brown	97			
evm.TU.HIC_ASM_15.2640	brown	97			
evm.TU.HIC_ASM_15.335	brown	97			
evm.TU.HIC_ASM_16.1327	brown	97			
evm.TU.HIC_ASM_16.1329	brown	97			
evm.TU.HIC_ASM_16.165	brown	97			
evm.TU.HIC_ASM_16.568	brown	97			
evm.TU.HIC_ASM_16.882	brown	97			
evm.TU.HIC_ASM_16.94	brown	97			
evm.TU.HIC_ASM_17.1138	brown	97			
evm.TU.HIC_ASM_17.1448	brown	97			
evm.TU.HIC_ASM_17.1538	brown	97			
evm.TU.HIC_ASM_17.164	brown	97			
evm.TU.HIC_ASM_17.747	brown	97			
evm.TU.HIC_ASM_18.133	brown	97			
evm.TU.HIC_ASM_18.165	brown	97			
evm.TU.HIC_ASM_18.322	brown	97			
evm.TU.HIC_ASM_18.35	brown	97			
evm.TU.HIC_ASM_18.393	brown	97			
evm.TU.HIC_ASM_18.408	brown	97			
evm.TU.HIC_ASM_18.522	brown	97			
evm.TU.HIC_ASM_18.555	brown	97			
evm.TU.HIC_ASM_2.1199	brown	97			
evm.TU.HIC_ASM_2.1381	brown	97			
evm.TU.HIC_ASM_2.1469	brown	97			
evm.TU.HIC_ASM_2.198	brown	97			
evm.TU.HIC_ASM_2.200	brown	97			
evm.TU.HIC_ASM_2.592	brown	97			
evm.TU.HIC_ASM_2.725	brown	97			
