"Module","VascularTissue","ModuleSize","UpGenes","PropUp","IsVascularInThatTissue"
"black","Cabium",37,0,0,FALSE
"black","Immature_xylem",37,37,1,TRUE
"black","Mature_xylem",37,0,0,FALSE
"black","Phloem",37,0,0,FALSE
"blue","Cabium",157,0,0,FALSE
"blue","Immature_xylem",157,3,0.0191082802547771,FALSE
"blue","Mature_xylem",157,157,1,TRUE
"blue","Phloem",157,2,0.0127388535031847,FALSE
"brown","Cabium",129,0,0,FALSE
"brown","Immature_xylem",129,0,0,FALSE
"brown","Mature_xylem",129,0,0,FALSE
"brown","Phloem",129,0,0,FALSE
"green","Cabium",30,0,0,FALSE
"green","Immature_xylem",30,0,0,FALSE
"green","Mature_xylem",30,0,0,FALSE
"green","Phloem",30,0,0,FALSE
"greenyellow","Cabium",189,0,0,FALSE
"greenyellow","Immature_xylem",189,0,0,FALSE
"greenyellow","Mature_xylem",189,0,0,FALSE
"greenyellow","Phloem",189,0,0,FALSE
"magenta","Cabium",35,0,0,FALSE
"magenta","Immature_xylem",35,0,0,FALSE
"magenta","Mature_xylem",35,0,0,FALSE
"magenta","Phloem",35,0,0,FALSE
"pink","Cabium",64,64,1,TRUE
"pink","Immature_xylem",64,1,0.015625,FALSE
"pink","Mature_xylem",64,1,0.015625,FALSE
"pink","Phloem",64,0,0,FALSE
"purple","Cabium",87,0,0,FALSE
"purple","Immature_xylem",87,0,0,FALSE
"purple","Mature_xylem",87,0,0,FALSE
"purple","Phloem",87,87,1,TRUE
"red","Cabium",187,1,0.0053475935828877,FALSE
"red","Immature_xylem",187,2,0.0106951871657754,FALSE
"red","Mature_xylem",187,1,0.0053475935828877,FALSE
"red","Phloem",187,1,0.0053475935828877,FALSE
"tan","Cabium",128,0,0,FALSE
"tan","Immature_xylem",128,0,0,FALSE
"tan","Mature_xylem",128,0,0,FALSE
"tan","Phloem",128,0,0,FALSE
"turquoise","Cabium",76,0,0,FALSE
"turquoise","Immature_xylem",76,0,0,FALSE
"turquoise","Mature_xylem",76,0,0,FALSE
"turquoise","Phloem",76,0,0,FALSE
"yellow","Cabium",122,0,0,FALSE
"yellow","Immature_xylem",122,0,0,FALSE
"yellow","Mature_xylem",122,0,0,FALSE
"yellow","Phloem",122,0,0,FALSE
