Gene,Pistil,Cabium,Bark,Old_leaf,Mature_xylem,Expanded_leaf,Young_leaf,Immature_xylem,Apex,Phloem,Root,Petiole,long1,long2,long3,long4,long5,long6,short1,short2,short3,short4,short5,short6
evm.TU.HIC_ASM_0.243,0,0,0,0,0,0,0,0.106949485137925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.286,0,0,0,0,0,0,0,0,0,0.216022690361414,0.0167639631360505,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.172,0,0,0,0,8.22883611478046,0,0,0.311995555412303,0,0.0669474893729932,0.983063521605814,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.1884,0,0,0,0,0,0.0254866977354978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_13.700,0,0.828034803146599,0,0,0.0232690757606995,0,0,0.0444412179486226,0,0.0339193505481179,0.0262656031100204,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_13.994,0,0,0,0,0,0,0.00695957922551499,0,0,0,0,0.440779311888987,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.178,0,0,0.372976606808588,0.0301453545475445,0,0,0,0,0.0200154422230041,0.0451479709770921,0,0.024488952575513,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_15.1488,0.0585298531977051,0.0480108341569961,0,0.0199974207001608,0.237538428716538,0.109361451434168,0.131587289006855,0.110849183353216,0.102276944829103,0.116006700301955,4.75759034254216,0.171409251774546,0.0667156295511412,0.0284682547810344,0.00977855456179274,0.0113429641406606,0.0102561248815304,0.0392525876509603,0,0.0445330772494163,0,0.00844003611314419,0.00945084907078788,0.010449496085226
evm.TU.HIC_ASM_4.93,1.61710379051714,0.0349502602085201,0,0,0.00558874099121764,0,0.0296366343840655,0.0129519110935336,0.180559515499209,0.00550059559477234,0.0275254134370007,0.0112518299694439,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_8.792,0,0,0,0.0359837180423066,0,0,0,0,0,0,0,0,0,0,0,0.014427187393087,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_9.387,0,0,0,0,0,0.0149612875830423,0.514719502438903,0,0.0753281640302309,0,0,0.006776747567604,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.ORIGINAL_505.8,0.134191362565951,0,0,0,0,0,0.0749314685696781,0,2.49576601665122,0,0.0364667603846735,0,0,0,0,0,0,0,0,0,0,0,0,0
