,Pistil,Cabium,Bark,Old_leaf,Mature_xylem,Expanded_leaf,Young_leaf,Immature_xylem,Apex,Phloem,Root,Petiole,long1,long2,long3,long4,long5,long6,short1,short2,short3,short4,short5,short6
evm.TU.HIC_ASM_0.243,0,0,0,0,0,0,0,0.106949485137925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.257,0,0,0,0,0,0,0,0.0734482606171547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.1026,0,0.00023297643676253,0,0,0,5.96301145873598e-05,0,0.00120847216511819,0,0,8.8001713469381e-05,4.66463374547369e-05,0,0,0,0.000116853565806475,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.503,0,0.143149792306655,0,0,0.0183032520161793,0,0,2.8368881754951,0,0,0,0,0,0,0,0,0.0108471390861223,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.565,0,0,0,0,0,0,0,0.0706105241730525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.491,0,0,0,0,0,0,0,0.0288925441318342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_12.1126,0,0.0734877925720507,0,0,0,0,0,0.868024522197621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.1066,0,0,0,0,0,0,0,0.0535038810449571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.485,0,0,0,0,0,0,0,0.149893630710381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_15.1637,0,0,0,0,0,0,0,0.0302612046168937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_15.1935,0,0,0,0,0,0,0,0.0721643538408666,0,0,0,0.0245173205518192,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_16.329,0,0,0,0,0,0,0,0.0566565865354613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_16.503,0,0,0,0,0,0,0,2.42867305074422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_16.539,0,0,0,0,0,0,0,0.117520845010278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_18.1158,0,0,0,0.00745626398602355,0,0,0,0.193006728699803,0,0,0.0217843426939924,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_18.917,0,0,0,0,0,0,0,0.165408609537258,0,0.0110862446633949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_2.236,0,0,0,0,0,0,0,0.0119268557604962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_2.722,0,0,0,0,0,0,0,0.0392998543895836,0,0,0,0,0,0,0,0,0,0,0.0164768266225117,0,0,0,0,0
evm.TU.HIC_ASM_3.411,0,0,0,0,0,0,0,0.0102795227431027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_4.561,0,0,0,0,0,0,0,0.0621525733673137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_5.186,0,0,0,0,0,0,0,0.0522303867014913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_5.885,0,0,0,0,0,0,0,0.0343598832433574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.1219,0,0,0,0,0,0,0,0.0202392824733454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.1507,0,0,0,0,0,0,0,0.0181740904217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.2283,0,0,0,0,0,0,0,0.121752811039707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.3887,0,0,0,0,0,0,0,0.0446445145124908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_7.166,0,0,0,0,0.0102666306170204,0,0,0.0275801428518291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_7.58,0,0,0,0,0,0,0,0.0493026978150752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_8.1638,0,0,0,0,0,0,0,0.0384525709720138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_8.685,0,0,0,0,0,0,0,0.139908632243774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_8.779,0,0,0,0,0,0,0.0573952778536427,0.182606283634683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_9.187,0,0,0,0,0,0,0,0.0293426253941724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.ORIGINAL_268.4,0,0,0,0,0,0,0,0.326039874281518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.ORIGINAL_484__FRAGMENT_1.7,0,0,0,0,0,0,0,0.0750392128663524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PB.9369,0,4.18375495443255e-05,0,0,0,0,0,0.000433223877257828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PB.2816,0,0,0,0,0,0,0,0.129967873012223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PB.3963,0,0,0,0,0,0,0,0.00280139713154032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
