,Pistil,Cabium,Bark,Old_leaf,Mature_xylem,Expanded_leaf,Young_leaf,Immature_xylem,Apex,Phloem,Root,Petiole,long1,long2,long3,long4,long5,long6,short1,short2,short3,short4,short5,short6
evm.TU.FRAGSCAFF_75__FRAGMENT_3.80,0,0,0,0,0,0,0,0,0,0,0,0.0197346459932552,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_0.44,0,0,0,0,0,0,0,0,0,0,0,0.0449508047916625,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.1175,0,0,0,0.205806618390699,0,0.876917521983402,1.34654432141565,0,0.61232890583627,0,0.0641972016490735,4.95749359658325,0,0,0,0,0.0456577751362503,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.1326,0,0,0,0,0,0,0,0,0,0,0,0.158892797225068,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.1552,0,0,0,0,0,0,0,0,0,0,0,0.0412724246873857,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.1553,0,0,0,0,0,0,0,0,0,0,0,0.0342269863488926,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.188,0,0,0,0,0,0,0,0,0,0,0,0.0858955058008991,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.753,0.00752850301891518,0,0,0.100761507074095,0.00404013501415366,0.518605635446757,1.66284199889488,0.00423577958366185,0.518013693544547,0.00200491462301913,0.0658659215079213,4.77761705901733,0.0072892850176935,0.00806229350340347,0.00334125724612591,0.00698494300129618,0.00380609487342092,0.00331054966322387,0.00466917303522361,0.0054713726112068,0.00364636880201362,0.00994619991844264,0.00350101709925696,0.00521264728794448
evm.TU.HIC_ASM_10.627,0,0,0,0,0,0,0,0,0,0,0,0.0243721656708495,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.722,0,0,0,0,0,0,0,0,0,0,0,0.0846389594832797,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_12.288,0,0,0,0,0,0,0,0,0,0,0,0.0252315373859398,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_12.960,0,0,0,0,0,0,0,0,0,0,0,0.0585963478204491,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_12.982,0,0,0,0,0,0,0,0,0,0,0,0.0862638308593693,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_13.1023,0,0,0,0,0,0,0,0,0,0,0.014109109632672,0.142037820333372,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_13.925,0.195532805796938,0.232519549939868,0,0,0,0.861195781144837,0.901640416273284,0.0623133219734415,0.638822993969547,0,0.134826810166552,4.42116244752279,0.107164699437512,0,0.0621433618442067,0.7752840515992,0.38448973406351,0,0,0,0,0,0,0
evm.TU.HIC_ASM_13.994,0,0,0,0,0,0,0.00695957922551499,0,0,0,0,0.440779311888987,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.1005,0,0,0,0,0,0,0,0,0,0,0,0.00649862913211528,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.651,0,0,0,0,0,0,0,0,0,0,0,0.164144365145803,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.668,0.0457127518753389,0,0,0,0,0,0.0172159432360083,0,0,0,0.020083735861067,0.665734756568143,0.0183730511905022,0,0,0,0,0,0,0,0,0,0.0369140169760695,0
evm.TU.HIC_ASM_15.1998,0,0,0,0,0,0,0,0,0,0,0,0.0427974692588541,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_15.2629,0,0,0,0,0,0,0,0.0203279544910231,0,0,0,0.141363466655247,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_15.361,0,0,0,0,0,0,0,0,0,0,0,0.0298189463995806,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_16.851,0,0,0,0,0,0,0,0,0,0,0,0.0864721905202359,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_16.940,0,0,0,0,0,0,0,0,0,0,0,0.0415112130485482,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_17.1240,0,0,0,0,0,0,0,0,0,0,0,0.0561594427098924,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_17.328,0,0,0,0,0.107711076768682,0,0,0,0,0,0.0340461703931074,0.559776979031405,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_18.316,0,0,0,0,0,0,0,0,0,0,0,0.0432516360073821,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_2.581,0,0,0,0,0,0,0,0,0,0.0184314519864166,0,0.084160441705668,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_3.1969,0,0,0,0,0,0,0,0,0,0,0,0.0599371298784061,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_4.1299,0,0,0.0548220881085228,0,0,0.326634367844854,0.71601194334941,0,0.6692073179301,0,0.0355493099121074,3.63447683407587,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_5.563,0,0,0,0,0,0,0,0,0,0,0,0.186178091944849,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_5.676,0,0,0,0,0,0,0,0,0.0672486230015613,0,0,0.272150626870839,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.2111,0,0,0,0,0,0,0,0,0.0162823601299947,0,0,0.109637369809332,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.2160,0,0,0,0,0,0,0,0,0,0,0,0.0210286078767587,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.2990,0,0,0,0,0,0,0,0,0,0,0,0.00961566629003125,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.3416,0,0,0,0,0,0,0,0,0,0,0,0.0353963442921165,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.3675,0,0,0,0,0,0,0,0,0,0,0,0.032106486950766,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.3703,0,0,0,0,0,0,0,0,0,0,0.0470641590188387,0.281838284857006,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.3969,0,0,0,0,0,0,0,0,0,0,0,0.0577141207042052,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_7.1643,0,0,0,0,0,0,0,0,0,0,0,0.133213659364638,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_7.1774,0,0,0,0,0,0,0,0,0,0,0,0.066626089370338,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_7.1885,0,0,0,0,0,0,0,0,0,0,0,0.0458660251805117,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_7.2355,0,0,0,0,0,0,0,0,0,0,0.0105459342254075,0.136561966912849,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_7.822,0,0,0,0,0,0,0,0,0,0,0,0.00761939479994731,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_8.1073,0,0,0,0,0,0.0489522390394156,0,0,0,0,0,0.437185828759089,0,0,0,0.0121037897995136,0.0509237350199938,0,0,0,0,0,0,0
evm.TU.HIC_ASM_8.582,0,0,0,0,0,1.44956419159635,1.34026012138126,0.121326680405014,0.694653503201717,0.195814140854259,0.0377083291139072,5.62820473436666,0,0,0,0.15774526252901,0.667722306283874,0,0,0,0,0,0,0
evm.TU.HIC_ASM_8.738,0,0,0,0,0,0,0,0,0,0,0,0.123588950944117,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_9.1797,0,0,0,0,0,0,0,0,0,0,0,0.0139519490559988,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_9.242,0,0,0,0,0,0,0,0,0,0,0,0.0758698476469322,0,0,0,0,0,0,0,0,0,0,0,0
PB.9590,0,0,0,0,0,0,0,0,0,0,0,0.0955504519768888,0,0,0,0,0,0,0,0,0,0,0,0
