Top 10 in network cyt_edges_blue.txt ranked by MCC method
Rank,Name,Score
1,evm.TU.HIC_ASM_11.78,3.5308042208419315E47
1,evm.TU.HIC_ASM_2.1314,3.5308042208419315E47
1,evm.TU.HIC_ASM_12.1,3.5308042208419315E47
1,evm.TU.HIC_ASM_7.1856,3.5308042208419315E47
1,evm.TU.HIC_ASM_12.904,3.5308042208419315E47
1,evm.TU.HIC_ASM_3.1763,3.5308042208419315E47
1,evm.TU.HIC_ASM_8.1676,3.5308042208419315E47
1,evm.TU.HIC_ASM_4.49,3.5308042208419315E47
1,evm.TU.HIC_ASM_5.1193,3.5308042208419315E47
1,evm.TU.ORIGINAL_200.6,3.5308042208419315E47
