Top 10 in network cyt_edges_brown.txt ranked by MCC method
Rank,Name,Score
1,evm.TU.ORIGINAL_250.2,1.135714598703509E49
1,evm.TU.HIC_ASM_15.2047,1.135714598703509E49
1,evm.TU.HIC_ASM_16.95,1.135714598703509E49
1,evm.TU.ORIGINAL_484__FRAGMENT_1.12,1.135714598703509E49
1,evm.TU.HIC_ASM_17.114,1.135714598703509E49
1,evm.TU.HIC_ASM_17.327,1.135714598703509E49
1,evm.TU.FRAGSCAFF_49__FRAGMENT_1.19,1.135714598703509E49
1,evm.TU.FRAGSCAFF_49__FRAGMENT_2.2,1.135714598703509E49
1,evm.TU.HIC_ASM_2.71,1.135714598703509E49
1,evm.TU.HIC_ASM_3.16,1.135714598703509E49
