Top 10 in network cyt_edges_pink.txt_1 ranked by MCC method
Rank,Name,Score
1,evm.TU.HIC_ASM_14.282,5.332863013273443E35
1,evm.TU.HIC_ASM_1.2283,5.332863013273443E35
1,evm.TU.HIC_ASM_1.258,5.332863013273443E35
1,evm.TU.HIC_ASM_15.2392,5.332863013273443E35
1,evm.TU.HIC_ASM_16.1198,5.332863013273443E35
1,evm.TU.HIC_ASM_10.1156,5.332863013273443E35
1,PB.23269,5.332863013273443E35
1,evm.TU.HIC_ASM_16.428,5.332863013273443E35
1,evm.TU.HIC_ASM_16.72,5.332863013273443E35
1,evm.TU.HIC_ASM_11.280,5.332863013273443E35
