Top 10 in network cyt_edges_turquoise.txt_1 ranked by MCC method
Rank,Name,Score
1,evm.TU.HIC_ASM_12.982,1.3917898547680021E28
1,evm.TU.HIC_ASM_6.3969,1.3917898547680021E28
1,evm.TU.HIC_ASM_18.316,1.3917898547680021E28
1,evm.TU.HIC_ASM_3.1969,1.3917898547680021E28
1,evm.TU.HIC_ASM_1.1326,1.3917898547680021E28
1,evm.TU.HIC_ASM_14.651,1.3917898547680021E28
1,evm.TU.HIC_ASM_7.822,1.3917898547680021E28
1,evm.TU.HIC_ASM_1.1553,1.3917898547680021E28
1,evm.TU.HIC_ASM_15.1998,1.3917898547680021E28
1,evm.TU.HIC_ASM_10.627,1.3917898547680021E28
