Top 10 in network cyt_edges_yellow.txt_1 ranked by MCC method
Rank,Name,Score
1,evm.TU.HIC_ASM_6.2810,3.1326390167639084E32
1,PB.78,3.1326390167639084E32
1,evm.TU.HIC_ASM_16.94,3.1326390167639084E32
1,evm.TU.HIC_ASM_17.1448,3.1326390167639084E32
1,evm.TU.HIC_ASM_9.1027,3.1326390167639084E32
1,evm.TU.HIC_ASM_18.393,3.1326390167639084E32
1,evm.TU.HIC_ASM_9.1424,3.1326390167639084E32
1,evm.TU.HIC_ASM_13.1374,3.1326390167639084E32
1,evm.TU.HIC_ASM_13.759,3.1326390167639084E32
1,evm.TU.HIC_ASM_2.1199,3.1326390167639084E32
