,Pistil,Cabium,Bark,Old_leaf,Mature_xylem,Expanded_leaf,Young_leaf,Immature_xylem,Apex,Phloem,Root,Petiole,long1,long2,long3,long4,long5,long6,short1,short2,short3,short4,short5,short6
evm.TU.HIC_ASM_1.149,0,0,0,0,0,0,0,0,0.0493580000944379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.1515,0,0,0,0,0,0,0,0,0.0180914592286353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.1522,0,0,0,0,0,0,0,0,0.0691169048466411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_1.849,0,0,0,0,0,0,0,0,0.0150293454476679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.464,0,0,0,0,0,0,0,0,0.0457220703039416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.472,0,0,0,0,0,0,0,0,0.0936498624937311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.543,0,0,0,0,0,0,0,0,0.0807026829135753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.724,0,0,0,0,0,0,0,0,0.0940549613961178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_10.912,0,0,0,0,0,0,0,0,0.0136575840975959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_11.720,0,0,0,0,0,0,0,0,0.0150688462920888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_11.78,0,0,0,0,0,0,0,0,0.0188036416876634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_12.1,0,0,0,0,0,0,0,0,0.0596252384730533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_12.904,0,0,0,0,0,0,0,0,0.05973044030715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_13.1402,0,0,0,0,0,0,0,0,0.0514338219923262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_14.580,0,0,0,0,0,0,0,0,0.0905120199631115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_15.1317,0,0,0,0,0,0,0,0,0.0247782797649653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_15.1558,0,0,0,0,0,0,0,0,0.0842960750077797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_15.2403,0,0,0,0,0,0,0,0,0.10551538608457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_15.81,0,0,0,0,0,0,0,0,0.0201676756957239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_16.1129,0,0,0,0,0,0,0,0,0.0553451466380894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_16.1165,0,0,0,0,0,0,0,0,0.047211238894497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_16.1417,0,0,0,0,0,0,0,0,0.0120117493793387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_17.1550,0,0,0,0,0,0,0,0,0.014674269010676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_18.1257,0,0,0,0,0,0,0,0,0.0753765446840823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_18.355,0,0,0,0,0,0,0,0,0.144943042483555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_18.807,0,0,0,0,0,0,0,0,0.0179019594834724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_18.858,0,0,0,0,0,0,0,0,0.028484285286491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_2.1314,0,0,0,0,0,0,0,0,0.0274065123715691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_2.774,0,0,0,0,0,0,0,0,0.00642059193168131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_3.1763,0,0,0,0,0,0,0,0,0.0149793735524107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_4.169,0,0,0,0,0,0,0,0,0.0423870567310547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_4.49,0,0,0,0,0,0,0,0,0.172987529422923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_5.1193,0,0,0,0,0,0,0,0,1.32928513062068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.153,0,0,0,0,0,0,0,0,0.0300634061980481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.2121,0,0,0,0,0,0,0,0,0.0163570114438109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.214,0,0,0,0,0,0,0,0,0.122717771283844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.2154,0,0,0,0,0,0,0,0,0.173390143839943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.3709,0,0,0,0,0,0,0,0,0.738821149178492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.3802,0,0,0,0,0,0,0,0,0.0246014765451499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.3923,0,0,0,0,0,0,0,0,0.0497808378389076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.4171,0,0,0,0,0,0,0,0,0.0902310638893824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_6.674,0,0,0,0,0,0,0,0,0.145460953187135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_7.1794,0,0,0,0,0,0,0,0,0.0120084100442847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_7.1856,0,0,0,0,0,0,0,0,0.0244473456740495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_7.2031,0,0,0,0,0,0,0,0,0.0809986856942633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_7.2167,0,0,0,0,0,0,0,0,0.0339447154089776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_8.1676,0,0,0,0,0,0,0,0,0.345439903132104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.HIC_ASM_8.1841,0,0,0,0,0,0,0,0,0.688617839159022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.ORIGINAL_200.6,0,0,0,0,0,0,0,0,0.0153201004248373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.ORIGINAL_352.1,0,0,0,0,0,0,0,0,0.0417298734317869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
