"Module","Gene","Stability"
"green","evm.TU.FRAGSCAFF_44__FRAGMENT_2.45",1
"green","evm.TU.FRAGSCAFF_57__FRAGMENT_2.42",1
"green","evm.TU.FRAGSCAFF_70__FRAGMENT_2.1",1
"green","evm.TU.FRAGSCAFF_78__FRAGMENT_1.7",1
"green","evm.TU.HIC_ASM_0.102",1
"green","evm.TU.HIC_ASM_0.243",0.99
"green","evm.TU.HIC_ASM_0.247",1
"green","evm.TU.HIC_ASM_0.257",0.99
"green","evm.TU.HIC_ASM_0.612",1
"green","evm.TU.HIC_ASM_0.797",1
"green","evm.TU.HIC_ASM_1.1051",1
"green","evm.TU.HIC_ASM_1.1442",1
"green","evm.TU.HIC_ASM_1.1608",1
"green","evm.TU.HIC_ASM_1.1884",1
"green","evm.TU.HIC_ASM_1.189",1
"green","evm.TU.HIC_ASM_1.2035",0.99
"green","evm.TU.HIC_ASM_1.2201",1
"green","evm.TU.HIC_ASM_1.2420",1
"green","evm.TU.HIC_ASM_1.565",0.99
"green","evm.TU.HIC_ASM_1.862",1
"green","evm.TU.HIC_ASM_10.219",1
"green","evm.TU.HIC_ASM_10.315",1
"green","evm.TU.HIC_ASM_10.476",1
"green","evm.TU.HIC_ASM_10.491",0.99
"green","evm.TU.HIC_ASM_10.495",0.99
"green","evm.TU.HIC_ASM_10.619",1
"green","evm.TU.HIC_ASM_11.1175",1
"green","evm.TU.HIC_ASM_11.1310",1
"green","evm.TU.HIC_ASM_11.1313",1
"green","evm.TU.HIC_ASM_11.1334",1
"green","evm.TU.HIC_ASM_11.2",1
"green","evm.TU.HIC_ASM_11.22",1
"green","evm.TU.HIC_ASM_11.695",1
"green","evm.TU.HIC_ASM_11.72",1
"green","evm.TU.HIC_ASM_11.885",1
"green","evm.TU.HIC_ASM_12.1184",0.99
"green","evm.TU.HIC_ASM_12.196",1
"green","evm.TU.HIC_ASM_12.221",1
"green","evm.TU.HIC_ASM_12.77",1
"green","evm.TU.HIC_ASM_12.973",1
"green","evm.TU.HIC_ASM_13.1116",1
"green","evm.TU.HIC_ASM_13.1252",1
"green","evm.TU.HIC_ASM_13.337",0.99
"green","evm.TU.HIC_ASM_14.1066",0.99
"green","evm.TU.HIC_ASM_14.271",1
"green","evm.TU.HIC_ASM_14.285",1
"green","evm.TU.HIC_ASM_14.485",0.99
"green","evm.TU.HIC_ASM_14.670",1
"green","evm.TU.HIC_ASM_14.744",1
"green","evm.TU.HIC_ASM_14.786",1
"green","evm.TU.HIC_ASM_15.1267",0.99
"green","evm.TU.HIC_ASM_15.1271",1
"green","evm.TU.HIC_ASM_15.1637",0.99
"green","evm.TU.HIC_ASM_15.169",1
"green","evm.TU.HIC_ASM_15.2245",1
"green","evm.TU.HIC_ASM_15.2309",1
"green","evm.TU.HIC_ASM_15.2339",0.99
"green","evm.TU.HIC_ASM_15.2516",1
"green","evm.TU.HIC_ASM_15.533",1
"green","evm.TU.HIC_ASM_16.1194",1
"green","evm.TU.HIC_ASM_16.1403",1
"green","evm.TU.HIC_ASM_16.192",1
"green","evm.TU.HIC_ASM_16.327",1
"green","evm.TU.HIC_ASM_16.329",0.99
"green","evm.TU.HIC_ASM_16.431",1
"green","evm.TU.HIC_ASM_16.503",0.99
"green","evm.TU.HIC_ASM_16.539",0.99
"green","evm.TU.HIC_ASM_16.674",1
"green","evm.TU.HIC_ASM_16.688",1
"green","evm.TU.HIC_ASM_16.989",1
"green","evm.TU.HIC_ASM_17.1026",1
"green","evm.TU.HIC_ASM_17.1349",1
"green","evm.TU.HIC_ASM_17.1402",1
"green","evm.TU.HIC_ASM_17.1438",1
"green","evm.TU.HIC_ASM_17.432",1
"green","evm.TU.HIC_ASM_17.617",1
"green","evm.TU.HIC_ASM_17.901",1
"green","evm.TU.HIC_ASM_18.392",1
"green","evm.TU.HIC_ASM_18.864",1
"green","evm.TU.HIC_ASM_2.1042",1
"green","evm.TU.HIC_ASM_2.1045",1
"green","evm.TU.HIC_ASM_2.236",0.99
"green","evm.TU.HIC_ASM_2.409",1
"green","evm.TU.HIC_ASM_2.576",1
"green","evm.TU.HIC_ASM_2.794",0.99
"green","evm.TU.HIC_ASM_3.1245",1
"green","evm.TU.HIC_ASM_3.136",1
"green","evm.TU.HIC_ASM_3.142",1
"green","evm.TU.HIC_ASM_3.1799",0.99
"green","evm.TU.HIC_ASM_3.181",1
"green","evm.TU.HIC_ASM_3.1998",1
"green","evm.TU.HIC_ASM_3.411",0.99
