motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.692	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.652	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_8.793	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_7.2377	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.1696	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.ORIGINAL_126__FRAGMENT_2.12	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.1286	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_11.530	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_15.530	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.ORIGINAL_134__FRAGMENT_2.26	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_1.870	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.ORIGINAL_491.23	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_17.18	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.26	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_4.597	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_9.118	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.69	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.1511	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_18.1243	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_1.2385	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_12.897	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.921	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_17.263	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_5.1025	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_15.2491	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_15.587	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_8.810	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_11.1031	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_15.2571	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.2535	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_18.1239	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.ORIGINAL_278.4	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_12.1322	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_1.873	19.38	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_2.315	19.38	tp	1
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_5.264	19.38	tp	1
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_11.1256	19.38	tp	1
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_13.1386	19.38	tp	1
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_10.890	19.38	tp	1
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.455	19.38	tp	1
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_1.2699	19.38	fp	1
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_13.613	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.414	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_13.227	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_4.1752	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_4.1356	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_15.1105	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_3.1104	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_1.289	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_1.2623	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_3.1728	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_15.827	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.487	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_13.1360	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_12.1253	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_17.471	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_5.1027	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_8.401	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_9.929	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_0.1021	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_3.327	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_18.113	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_17.126	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_1.163	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_0.932	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_8.1809	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_14.602	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.1249	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_1.2678	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.2982	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_5.597	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_2.553	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_9.928	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_14.702	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.2373	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_15.1550	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_10.892	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_12.828	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_12.883	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_3.1788	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_12.52	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.3299	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.1136	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_12.1363	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.4208	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_2.214	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_3.767	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.ORIGINAL_491.24	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.916	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_8.1007	17.46	tp	0
1-TTAAAAAAATAAAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.269	17.46	tp	0
