motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_15.530	21.10	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.ORIGINAL_134__FRAGMENT_2.26	21.10	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_1.2385	21.10	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_17.263	21.10	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_15.2571	21.10	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.ORIGINAL_278.4	21.10	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_2.315	21.10	tp	1
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_16.692	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_6.652	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_8.793	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_7.2377	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_6.1696	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.ORIGINAL_126__FRAGMENT_2.12	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_6.1286	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_11.530	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_1.870	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.ORIGINAL_491.23	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_17.18	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_6.26	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_4.597	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_9.118	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_16.69	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_6.1511	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_18.1243	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_12.897	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_16.921	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_5.1025	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_15.2491	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_15.587	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_8.810	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_11.1031	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_6.2535	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_18.1239	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_12.1322	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_1.873	18.79	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_5.264	18.79	tp	1
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_13.1386	18.79	tp	1
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_10.890	18.79	tp	1
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_16.455	18.79	tp	1
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_7.1158	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_13.545	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_15.2392	18.68	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_6.916	18.68	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_3.1211	18.68	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_8.1133	18.68	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_4.1492	18.68	tp	1
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_2.94	18.68	tp	1
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_12.454	17.99	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_9.1175	17.99	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_16.380	17.99	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_11.731	17.99	tp	1
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_15.404	17.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_17.213	17.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_7.1734	17.47	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_7.1783	17.47	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_5.421	17.44	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_17.950	17.44	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_15.1550	17.44	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_2.562	17.37	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_15.756	17.30	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.FRAGSCAFF_44__FRAGMENT_2.7	17.30	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_8.681	17.30	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_11.1264	17.30	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_7.681	17.30	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_6.3299	17.30	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_12.1150	17.30	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_18.465	17.30	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_13.613	17.21	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_5.1027	17.21	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_5.597	17.21	tp	0
1-TTAAAAAAATAAAAT	STREME-1	1.9e-001	evm.TU.HIC_ASM_14.702	17.21	tp	0
