motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_5.1278	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_16.692	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_13.227	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_4.1752	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_16.1198	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_3.10	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_3.1104	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_1.289	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_8.1129	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_5.1027	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_8.401	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_1.870	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_9.366	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_17.950	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_10.254	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_9.1110	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_18.776	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_6.26	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_3.961	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_16.261	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_12.828	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_10.253	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.FRAGSCAFF_44__FRAGMENT_2.32	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_17.127	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_6.778	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_15.516	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_12.897	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_7.2421	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_6.916	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_9.1175	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_11.766	14.15	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_10.450	14.15	fp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_5.264	14.15	tp	1
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.ORIGINAL_268.3	14.08	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_6.652	14.08	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_6.3973_evm.TU.HIC_ASM_6.3974	14.08	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_3.224	14.08	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_15.827	14.08	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_6.1286	14.08	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_18.629	14.08	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_18.421	14.08	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_9.207	14.08	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_0.172	14.08	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_6.2982	14.08	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_10.858	14.08	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_16.1136	14.08	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_0.374	14.08	tp	0
1-GGAAAACA	STREME-1	2.1e-003	evm.TU.HIC_ASM_6.2216	14.08	tp	0
