motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.4110	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_1.2653	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_1.2713	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_3.267	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_7.983	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.4193	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.ORIGINAL_152.1	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_1.1794	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.ORIGINAL_152.2	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_7.789	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_9.1741	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_15.309	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_10.1103	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_3.1397	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_3.2275	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.ORIGINAL_439__FRAGMENT_1.28	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.393	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_3.369	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.FRAGSCAFF_47__FRAGMENT_3.15	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_5.32	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_12.504	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_12.316	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_2.618	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_12.1004	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_1.489	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_0.571	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_4.805	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_15.2553	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_9.1759	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_17.44	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_9.1925	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_14.840	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_3.591	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_2.31	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_17.189	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_11.180	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_15.1164	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_2.233	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.726	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_7.1692	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.66	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.1072	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_7.790	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_12.255	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_9.739	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.1814	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_18.626	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.FRAGSCAFF_44__FRAGMENT_2.14	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_10.748	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_14.862	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_17.1006	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.2963	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_16.54	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.568	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_5.726	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_10.388	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.848	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_17.168	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_13.1029	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_7.629	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.ORIGINAL_458.14	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_2.874	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_11.110	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_1.1416	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_15.1253	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_14.498	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_15.1018	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_11.449	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.1107	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.2945	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_13.1006	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.655	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.1141	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_14.287	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_9.304	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.1184	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.2066	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.656	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_4.1305	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.1529	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.FRAGSCAFF_59.3	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_16.451	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_14.530	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.FRAGSCAFF_21__FRAGMENT_1.32	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_3.151	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.ORIGINAL_376.2	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_3.1643	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.FRAGSCAFF_52__FRAGMENT_3.2	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_10.407	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_9.293	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.2595	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_15.1292	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_15.1324	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_5.1297	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_15.1380	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_12.1016	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_5.111	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_16.1226	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_10.275	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.2594	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_17.616	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_13.1186	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_3.689	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_5.806	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_13.1246	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_3.110	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_18.1078	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_5.1237	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.863	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.1397	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.ORIGINAL_179__FRAGMENT_2.3	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_1.133	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_17.58	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_18.38	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_16.818	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_9.617	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_17.604	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.634	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.1921	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.ORIGINAL_200.5	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_17.1400	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_7.688	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.1486	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_1.2269	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_17.1239	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_9.1244	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_5.951	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_18.1040	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_15.778	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_7.2319	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_15.698	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_11.21	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_17.484	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.736	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_3.102	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_15.2437	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_18.1076	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.2060	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.4094	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.716	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_18.1174	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.583	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_1.2358	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.ORIGINAL_113.62	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.385	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.1761	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_15.167	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.469	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_1.2627	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.3739	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.ORIGINAL_420.3	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_15.359	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.ORIGINAL_154.16	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_18.806	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.3958	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_13.1392	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_17.117	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_4.666	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_0.583	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_15.961	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.ORIGINAL_277.3	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.1277	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_4.396	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.876	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_12.249	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_2.257	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_3.326	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.886	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_18.953	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_9.85	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.3868	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_4.290	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_4.1071	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_15.2154	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_1.1508	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_17.109	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_7.1581	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_3.1812	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_6.3946	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_0.965	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_5.378	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_10.293	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_18.750	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_7.1012	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.1361	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_7.1306	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_0.53	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_4.1362	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.ORIGINAL_437__FRAGMENT_2.16	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_3.70	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.1460	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_0.317	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_0.286	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_7.1234	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_18.1006	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_3.1146	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_4.1066	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_11.1189	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_9.165	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_12.1257	10.48	tp	0
1-AATCCA	STREME-1	1.8e-002	evm.TU.HIC_ASM_8.1574	10.48	tp	0
