motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_1.2713	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_1.1794	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_7.789	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_3.1397	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_3.2275	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.ORIGINAL_439__FRAGMENT_1.28	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_3.369	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.FRAGSCAFF_47__FRAGMENT_3.15	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_12.1004	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_2.31	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_11.180	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_2.233	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.FRAGSCAFF_44__FRAGMENT_2.14	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_17.1006	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_6.2963	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_16.54	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_5.726	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_17.168	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.ORIGINAL_458.14	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_2.874	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_11.110	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_15.1253	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_11.449	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_6.1529	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.FRAGSCAFF_59.3	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_9.293	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_15.1324	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_15.1380	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_12.1016	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_5.806	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_3.110	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_6.863	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_17.58	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_16.818	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_9.617	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_1.2269	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_15.698	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_6.583	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_8.469	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.ORIGINAL_420.3	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_18.806	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_17.117	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_0.583	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_15.961	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_6.876	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_12.249	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_9.85	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_6.3868	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_4.290	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_15.2154	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_18.750	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.ORIGINAL_437__FRAGMENT_2.16	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_3.70	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_8.1460	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_11.1189	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_8.1574	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_11.1003	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_15.2213	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_4.1314	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_18.971	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_6.522	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_11.860	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.ORIGINAL_394.13	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_8.1704	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_17.614	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_5.1176	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_6.373	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_5.902	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_2.139	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_16.1384	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_7.1412	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_13.1122	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_12.1362	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_12.876	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_7.2023	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.ORIGINAL_113.39	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_1.774	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_8.526	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_13.685	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_17.487	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_7.1152	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_15.17	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_1.964	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_5.443	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_2.2	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_9.282	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_1.1467	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_12.801	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_6.1322	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_16.922	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_18.1079	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_7.360	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_3.1230	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_5.696	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_15.2155	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_9.16	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_10.172	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_1.1578	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_9.1373	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_4.179	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_2.896	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_6.3094	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_6.2616	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_1.1597	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_15.2078	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_4.1086_evm.TU.HIC_ASM_4.1088	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_3.1516	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_18.774	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_4.1652	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_1.1243	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_16.131	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_11.1226	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_3.1076	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_4.850	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_3.101	13.49	tp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_9.446	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_3.905	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_7.1089	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_6.4	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_18.133	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_2.1148	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_11.193	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_6.1813	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_1.1981	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_4.754	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_18.35	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_7.1285	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_1.374	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_7.277	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_15.431	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_6.2998	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_2.616	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_17.1134	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_4.235	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_12.624	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_13.1012	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_7.805	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_1.538	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.FRAGSCAFF_36.1	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_6.1573	13.49	fp	0
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_17.785	13.49	tp	1
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_14.524	13.49	tp	1
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_0.1000	13.49	tp	1
1-CCGTCT	STREME-1	1.0e-002	evm.TU.FRAGSCAFF_57__FRAGMENT_2.37	13.49	tp	1
1-CCGTCT	STREME-1	1.0e-002	evm.TU.ORIGINAL_394.19	13.49	tp	1
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_4.394	13.49	tp	1
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_7.357	13.49	tp	1
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_1.47	13.49	tp	1
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_17.640	13.49	tp	1
1-CCGTCT	STREME-1	1.0e-002	evm.TU.HIC_ASM_10.212	13.49	tp	1
