motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_3.267	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_3.1397	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_14.840	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_18.626	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_16.54	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_11.110	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.1107	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_15.1292	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.ORIGINAL_179__FRAGMENT_2.3	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_17.58	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_9.617	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_18.1040	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.4094	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_15.167	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_1.2627	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.ORIGINAL_277.3	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_4.396	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_8.886	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_7.1012	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_3.70	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.ORIGINAL_394.13	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_1.1467	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.4024	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.1408	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_0.300	17.47	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.ORIGINAL_484__FRAGMENT_1.7	17.47	fp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_7.2080	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_7.789	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_3.2275	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_9.739	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_17.1006	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_5.726	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_5.1297	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_10.275	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_5.806	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.1382	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_15.698	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_4.290	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_10.293	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.ORIGINAL_437__FRAGMENT_2.16	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_11.1003	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_10.522	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_2.139	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_5.75	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_7.787	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_13.40	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_16.131	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_0.346	17.22	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_12.1126	17.22	fp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.3479	17.22	tp	1
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_7.983	15.36	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_14.510	15.36	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.2594	15.36	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.634	15.36	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_0.583	15.36	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_4.1071	15.36	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_4.1362	15.36	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_4.656	15.36	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_8.526	15.36	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_2.1238	15.36	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_3.1870	15.36	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_0.203	15.36	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_4.1524	15.36	tp	1
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.876	15.24	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_11.589	15.24	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_16.813	15.24	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_1.964	15.24	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_10.147	15.24	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_8.649	15.24	tp	1
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_17.604	15.11	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.1486	15.11	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.2616	15.11	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_17.168	14.99	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_7.1152	14.99	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.4149	14.99	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.ORIGINAL_247__FRAGMENT_2.53	14.99	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_1.1794	14.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_1.489	14.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_14.498	14.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_7.2319	14.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_3.102	14.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_8.469	14.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_18.750	14.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_2.812	14.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.373	14.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.ORIGINAL_460.6	14.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_5.696	14.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_15.2155	14.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_1.773	14.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.3094	14.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_1.47	14.70	tp	1
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_8.66	14.67	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_13.1246	14.67	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_0.317	14.67	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_4.1314	14.67	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_15.17	14.67	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_12.108	14.67	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_4.1086_evm.TU.HIC_ASM_4.1088	14.67	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_4.1556	14.67	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_5.111	14.45	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_9.282	14.45	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_15.2232	14.45	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_1.414	14.42	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_5.378	13.98	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_2.1279	13.98	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_8.273	13.98	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_15.309	13.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_10.748	13.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.2963	13.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_13.1006	13.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_18.1174	13.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_15.961	13.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_15.2213	13.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.1786	13.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_15.1982	13.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_6.1322	13.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_16.922	13.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_12.992	13.70	tp	0
1-AAAAAAAAGAAG	STREME-1	1.2e-001	evm.TU.HIC_ASM_8.941	13.70	tp	0
