motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_6.878	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_10.1159	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_13.537	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_5.123	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_6.1850	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_7.1090	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_15.1245	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_15.1446	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_13.608	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_14.1147	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_9.555	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_10.227	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_6.3520	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_1.2284	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_15.1014	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_9.1936	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_6.1343	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_3.1539	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_15.651	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_6.2309	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_7.2273	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_14.1136	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_5.807	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_8.523	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_1.913	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_9.1464	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_7.2376	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_10.78	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_0.345	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_1.453	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_11.158	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_17.639	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_6.2582	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_5.604	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_15.1255	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_3.1726	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_17.1575	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_16.403	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_11.44_evm.TU.HIC_ASM_11.45	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_2.596	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_4.1550	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_15.1657	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_6.1287	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_15.477	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_15.2657	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_9.1409	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_18.632	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_18.1071	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_8.1395	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_6.2583	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_16.560	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_6.638	14.39	tp	0
1-CCGCWCA	STREME-1	2.0e-002	evm.TU.HIC_ASM_10.946	14.39	tp	0
