motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_15.1557	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_1.1861	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_6.1672	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_6.1778	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_1.968	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_6.1750	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_4.728	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_9.578	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_9.1431	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_15.823	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_8.460	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.ORIGINAL_237__FRAGMENT_1.15	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_3.1372	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_1.737	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_3.1804	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_13.836	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_15.1853	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_16.849	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_5.583	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_9.1821	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_7.2209	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_7.453	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_1.216	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.ORIGINAL_153.2	19.66	tp	0
1-TATTTTTTTAAAAAT	STREME-1	2.4e-002	evm.TU.HIC_ASM_15.1019	19.66	tp	0
