motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_1.147	15.61	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_9.750	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_0.357	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_16.471	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_7.1665	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_0.329	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_4.1540	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_4.1547	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_7.201	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_13.992	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_7.2227	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_17.827	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_16.521	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_8.373	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_9.937	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_6.2260	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_16.481	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_15.1293	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_0.201_evm.TU.HIC_ASM_0.202	15.57	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_11.1348	15.57	fp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_18.1085	15.57	fp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_1.1216	15.57	tp	1
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_7.2389	15.53	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_5.114	15.53	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_7.605	15.53	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_7.2246	15.53	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_3.288	15.53	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_1.1970	15.53	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_4.596	15.53	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_7.2391	15.53	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_1.1312	15.53	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_7.2594	15.53	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_7.604	15.53	fp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_3.1719_evm.TU.HIC_ASM_3.1720	15.53	tp	1
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_7.2262	15.53	tp	1
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_13.521	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_1.18	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_2.1305	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_4.538	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_4.1743	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_2.1425	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_13.702	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_14.203	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_9.687	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_7.2522	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_11.42	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_15.927	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_17.999	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_3.488	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_17.851	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_11.233	14.78	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_3.487	14.78	tp	1
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_9.1549	14.78	tp	1
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_11.1103	14.74	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_17.1139	14.74	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_8.297	14.74	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_9.331	14.74	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_3.1396	14.74	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_3.1170	14.74	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_10.820	14.74	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_5.1228	14.74	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_12.861	14.74	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_12.717	14.74	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.HIC_ASM_16.402	14.74	tp	0
1-AMCGCGKT	STREME-1	1.4e-001	evm.TU.ORIGINAL_437__FRAGMENT_2.19	14.74	fp	0
