motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_5.202	16.56	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_16.1319	16.56	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_0.153	16.56	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_5.164	16.56	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_0.439	16.56	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_15.2131	16.56	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_13.521	16.09	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_12.146	16.09	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_5.982	16.09	tp	1
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_15.2439	15.98	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_8.230	15.98	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_17.1139	15.98	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_18.1226	15.98	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_0.126	15.98	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_6.2127	15.98	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_8.1084	15.98	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_2.1348	15.98	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_15.2063	15.98	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_17.640	15.98	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_9.293	15.98	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_16.813	15.98	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_4.1524	15.98	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_2.435	15.98	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_6.956	15.98	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_6.2594	15.98	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_2.2	15.98	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_9.16	15.98	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_0.26	15.98	tp	1
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_7.1552	15.51	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_3.288	15.51	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_2.1280	15.51	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_12.401	15.51	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_10.1012	15.51	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_6.1042	15.34	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_18.578	15.34	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_5.1044	15.34	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_9.1241	15.34	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_7.459	15.34	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_17.851	15.34	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_9.304	15.34	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_16.325	15.34	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_10.275	15.34	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_4.1002	14.93	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_0.357	14.93	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_16.1162	14.93	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.FRAGSCAFF_89__FRAGMENT_4.5	14.93	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_7.983	14.93	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_16.903	14.93	tp	1
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_2.876	14.87	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_4.1240	14.87	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_6.892	14.87	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_9.1534	14.87	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_7.2246	14.47	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_7.590	14.47	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_4.1134	14.47	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_2.736	14.47	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_7.1692	14.47	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_15.2351	14.46	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_15.2350	14.46	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_15.2349	14.46	tp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_6.1786	14.46	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_12.876	14.30	fp	0
1-ATATTTTAGAM	STREME-1	4.8e-003	evm.TU.HIC_ASM_13.844	14.18	tp	0
