motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_2.1305	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_4.1002	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_4.1240	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_7.605	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_6.892	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_15.1814	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_10.255	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_8.2000	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_11.608	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_3.1396	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_8.111	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_4.596	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_17.827	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_9.1534	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_12.146	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_10.820	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_3.1405	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_8.1528	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_15.1469	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_17.825	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_17.506	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_6.741	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_10.132	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_15.1294	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_16.481	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_13.764	20.67	tp	0
1-ATATATATTTTTTA	STREME-1	2.2e-002	evm.TU.HIC_ASM_2.952	20.67	tp	0
