motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_2.1305	21.12	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_4.1240	21.12	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_1.426	21.12	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_12.667	21.12	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_17.102	21.12	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_8.1084	21.12	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_12.401	21.12	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_16.402	21.12	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_10.1181	21.12	tp	1
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_5.202	19.32	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_8.373	19.32	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_15.927	19.32	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_16.1162	19.32	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_10.975	19.32	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_2.855	19.12	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_2.1186	19.12	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_7.605	19.12	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_8.111	19.12	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_3.488	19.12	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_3.1802	19.12	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_8.1263	19.12	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_3.487	19.12	tp	1
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_7.1684	18.69	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_7.2594	18.69	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_7.1279	18.60	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_7.1665	18.60	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_15.2139	18.60	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_16.773	18.60	fp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_17.1024	18.60	fp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_6.892	18.56	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_1.1311	18.56	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_6.2260	18.56	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_15.1293	18.56	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_7.1442	18.56	tp	1
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_13.844	17.51	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_12.45	17.51	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_15.2350	17.51	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_15.1469	17.51	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_6.741	17.51	tp	0
1-ATATAAAAAAATTAA	STREME-1	6.0e-003	evm.TU.HIC_ASM_1.697	17.51	tp	0
