motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_9.750	20.06	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_9.331	20.06	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_15.485	20.06	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_6.501	20.06	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_6.1139	20.06	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_8.1528	20.06	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_4.1029	20.06	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_15.63	20.06	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_15.1172	20.06	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_8.531	20.06	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_15.486	20.06	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_8.1771	20.06	fp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_7.1294	20.06	fp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_10.384	20.06	fp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_0.110	20.06	fp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_7.506	20.06	fp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_10.1216	20.06	fp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.FRAGSCAFF_90__FRAGMENT_1.5	20.06	fp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_17.218	20.06	tp	1
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_12.45	18.54	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_11.42	18.54	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_3.1405	18.54	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_4.556	18.54	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_2.736	18.54	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_16.791	18.54	fp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_17.54	18.54	fp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_11.883	18.54	fp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_3.586	18.00	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_2.561	18.00	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_7.2582	18.00	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_9.937	18.00	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_1.2637	18.00	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_16.1319	17.92	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_15.1469	17.92	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_8.1614	17.92	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_9.242	17.92	fp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_16.903	17.92	tp	1
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_7.2262	17.92	tp	1
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_18.793	17.59	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_7.2385	17.59	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_14.1057	17.59	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_8.218	17.59	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_6.2624	17.59	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_10.132	17.59	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_1.697	17.59	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_12.401	17.59	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_17.999	17.59	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_10.975	17.59	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_2.732	17.59	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_16.402	17.59	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_7.2589	17.59	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_6.748	17.59	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_7.2386	17.59	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_7.1966	17.59	fp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_10.142	17.59	fp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_8.647	17.59	fp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_6.2813	17.59	fp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_8.361	17.59	fp	1
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_15.2439	17.56	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_14.239	17.56	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_12.54	17.56	tp	0
1-TTTAAAAAATAAATT	STREME-1	1.4e-003	evm.TU.HIC_ASM_10.285	17.56	tp	0
