motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_17.1024	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_16.329	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_16.798	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_7.58	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.ORIGINAL_491.18	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_10.956	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_0.523	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_7.1817	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.2435	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_10.491	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.1507	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_9.1201	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.ORIGINAL_484__FRAGMENT_1.7	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_18.952	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_10.408	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_0.1079	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_1.1430	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_13.146	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_7.1618	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_17.1174	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_10.59	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.FRAGSCAFF_90__FRAGMENT_1.43	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_1.503	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_9.1051	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_8.575	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_3.1527	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_15.2044	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_3.411	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.3887	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_8.1638	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_2.693	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.2753	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_7.1960	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_2.722	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_3.1504	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_1.1689	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_15.1637	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_11.1020	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_10.523	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_16.773	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_1.1026	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_2.90	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_18.1158	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_9.187	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_8.262	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_7.389	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_14.411	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_3.283	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_1.847	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_4.561	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_8.779	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_1.565	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_5.885	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_16.539	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_0.182	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_9.18	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_15.1880	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_14.485	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_16.503	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_16.1366	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_1.1065	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_0.696	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.ORIGINAL_131.5	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_5.186	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.1219	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.3365	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_16.1334	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_18.917	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_9.182	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_2.1312	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_18.329	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_12.1126	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_4.671	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_15.1968	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_8.685	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.ORIGINAL_131.29	11.76	tp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.2660	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_15.391	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.2856	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_17.521	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_9.279	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_7.34	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.3207	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_8.364	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_7.18	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_8.1115	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.387	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_5.1199	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.279	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_13.352	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.2643	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.3471	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_11.1109	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_1.2035	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_15.2000	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.2382	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_15.1848	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_5.560	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_5.1296	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.213	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_17.475	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_5.1198	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_13.467	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_3.392	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.3953	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_9.417	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.2579	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_16.14	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.4057	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_6.3035	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_17.1028	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_15.5	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_15.815	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_18.973	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_7.1889	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_3.1799	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_7.324	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_18.562	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_14.876	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_18.1240	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_0.441	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_12.168	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.ORIGINAL_134__FRAGMENT_1.7	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_18.1085	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_10.490	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.ORIGINAL_320__FRAGMENT_2.1	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_7.378	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_7.1741	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_7.270	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_17.1019	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_13.368	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_18.16	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_9.1844	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_7.2238	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_4.874	11.76	fp	0
1-ACCACT	STREME-1	1.1e-002	evm.TU.HIC_ASM_17.1361	11.76	fp	0
