motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_15.1529	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_10.460	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_2.1040	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_12.1136	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_8.1129	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_1.2278	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_14.338	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_3.327	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_5.131	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_0.40	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_18.629	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_12.1363	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_17.246	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_6.140	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_12.1269	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_15.756	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_11.689	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_16.1360	17.01	tp	0
1-TAATTAATTAA	STREME-1	3.9e-002	evm.TU.HIC_ASM_6.3345	17.01	tp	0
