motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_1.1508	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.FRAGSCAFF_7__FRAGMENT_2.3_evm.TU.FRAGSCAFF_7__FRAGMENT_2.4	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_2.1218	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_18.38	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_8.736	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_18.1078	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_0.203	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.FRAGSCAFF_44__FRAGMENT_3.13	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_12.331	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_12.992	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_10.1103	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_13.1186	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.FRAGSCAFF_59.3	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_8.1460	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_15.1469	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_6.2171	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_7.2008	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_3.2161	14.34	tp	0
1-GAATCGA	STREME-1	1.2e-002	evm.TU.HIC_ASM_11.1189	14.34	tp	0
