motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_6.340	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_17.578	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_5.443	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_10.1201	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_7.330	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.ORIGINAL_394.19	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_1.379	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_7.319	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_0.474	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_0.203	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.ORIGINAL_179__FRAGMENT_2.2	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_2.1305	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_1.2713	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_12.992	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_7.201	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_10.1103	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.FRAGSCAFF_59.3	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_8.1460	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_6.4110	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.ORIGINAL_113.62	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_3.1516	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_3.1802	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_3.1076	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_3.2161	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.FRAGSCAFF_44__FRAGMENT_2.14	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_1.489	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_0.300	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_15.2437	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_5.726	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_3.788	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_6.1106	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_3.101	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_18.806	12.36	tp	0
1-ATTTAAAT	STREME-1	3.0e-001	evm.TU.HIC_ASM_16.54	12.36	tp	0
