motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_9.16	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_18.38	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_7.330	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_14.530	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_0.26	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_0.474	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_0.203	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.FRAGSCAFF_44__FRAGMENT_3.13	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.ORIGINAL_179__FRAGMENT_2.2	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_2.139	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_2.1305	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_12.331	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_1.2713	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_14.287	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_12.992	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_16.1384	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_13.1006	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_0.199	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_7.2008	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_15.1257	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_3.788	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_14.98	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_7.789	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_0.571	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_6.1139	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_18.806	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_16.405	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_2.136	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_6.1275	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_8.1277	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_7.839	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_16.818	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_0.286	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_1.1597	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_8.649	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.ORIGINAL_376.2	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_9.934	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_16.1102	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_7.1412	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_9.617	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_7.629	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_14.709	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_14.862	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_8.469	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_9.1018	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_17.168	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_13.1246	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_7.1280	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_7.1279	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_11.1249	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.ORIGINAL_394.15	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_10.293	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_4.1567	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_7.1306	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_11.860	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_0.774	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_7.2125	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_4.1086_evm.TU.HIC_ASM_4.1088	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_14.183	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_8.1611	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_6.2127	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_15.927	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.ORIGINAL_200.15	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_6.821	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_15.778	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_3.1812	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_4.782	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_10.276	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_10.172	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_3.1111	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_15.2077	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_14.498	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_3.1483	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_4.805	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_0.329	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_2.896	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_16.1258	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_6.4193	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_15.2218	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_18.953	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_15.2351	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_14.840	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_16.1226	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_6.1529	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_4.1071	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_5.111	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_1.1919	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_1.2653	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_6.726	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_7.1073	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_6.956	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_15.2155	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_14.750	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_7.1092	13.17	tp	0
1-AGTCATA	STREME-1	1.4e-002	evm.TU.HIC_ASM_9.85	13.17	tp	0
