motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_11.229	19.75	tp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_8.1294	19.75	tp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_6.3151	19.75	tp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_11.81	19.75	tp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.FRAGSCAFF_22__FRAGMENT_1.8	19.75	tp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_8.1398	19.75	tp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_9.1015	19.75	tp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_1.2657	19.75	tp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_11.80	19.75	tp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_12.1040	19.75	tp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_9.1090	19.75	tp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_3.1740	19.75	fp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_1.787	19.75	fp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_14.207	19.75	tp	1
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_16.376	19.75	fp	1
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_6.1199	18.12	fp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_12.1390	17.95	tp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_5.986	17.95	tp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_3.149	17.95	fp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_8.1103	17.28	tp	0
1-CAAGAAACCAAA	STREME-1	2.4e-001	evm.TU.HIC_ASM_4.605	17.28	tp	0
