motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_3.1590	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_6.2307	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_10.1184	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_0.1084	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_15.2289	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_3.97	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_4.539	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_6.574	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_6.509	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_6.2947	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_2.1347	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_14.192	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_6.2351	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_14.971	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_4.1503	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_12.301	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_3.1638	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_0.473	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_10.93	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_7.2353	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_7.598	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_11.865	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_10.907	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_12.440	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_6.1869	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_16.506	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_10.103	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.ORIGINAL_113.66	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_6.852	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_18.945	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_3.1159	17.91	tp	0
1-AAAAAGAAAAGA	STREME-1	2.5e-002	evm.TU.HIC_ASM_7.2558	17.91	tp	0
