motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.728	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.966	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_15.291	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.ORIGINAL_425.10	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.ORIGINAL_437__FRAGMENT_2.30	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_18.1127	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.4019	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_3.979	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.2187	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.4004	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_11.229	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_16.403	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.ORIGINAL_239.1	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.3490	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_8.1625	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_15.2484	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_17.537	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_15.1853	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_15.1339	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_0.143	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_1.890	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.1533	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_10.334	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_5.171	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_11.64	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.4074	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_10.33	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_11.1155	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_18.386	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.1112	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.527	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_10.148	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_13.642	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_5.1085	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_1.886	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_3.1999	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.2382	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_17.812	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.453	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_15.1079	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_18.816	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_14.925	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_10.1031	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_1.1154	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.1778	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_15.2140	15.39	tp	0
1-AAATAAATTA	STREME-1	4.9e-002	evm.TU.HIC_ASM_1.1204	15.39	tp	0
