motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_15.1854	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_9.556	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_4.876	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_17.91	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_9.555	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_15.736	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_17.705	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_6.2583	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_3.1695	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_12.440	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_0.114	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_17.998	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.ORIGINAL_113.66	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_0.41	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_11.1235	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_7.145	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_8.1603	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_9.684	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_9.618	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_8.1485	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_6.2518	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.ORIGINAL_113.67	21.55	tp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.ORIGINAL_505.12	21.55	fp	0
1-AGAGAGAGAGGA	STREME-1	1.9e-002	evm.TU.HIC_ASM_15.2581	21.55	tp	1
