motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_17.199	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.728	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.966	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.423	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_15.832	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_13.891	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_11.603	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_12.18	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_14.160	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_9.1085_evm.TU.HIC_ASM_9.1086	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_15.1854	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_15.291	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.ORIGINAL_425.10	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_9.556	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_18.1127	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_13.979	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_10.78	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_3.979	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_7.2187	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_9.1325	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.4004	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_9.1338	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_3.1590	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.2307	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_16.403	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_4.1518	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_3.2136	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.428	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_10.960	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_14.199	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_11.1157	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.ORIGINAL_239.1	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_15.2233	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_8.181	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_17.303	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_10.1184	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_8.1625	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_15.1952	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_1.1102	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_4.876	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_15.2484	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_15.1256	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_17.537	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_12.1390	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_0.1084	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_9.404	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_15.1339	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_17.91	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_9.555	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_4.1581	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_11.1083	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_3.1703	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_1.1077	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_7.1037	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_12.318	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_1.1023	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_9.812	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.2225	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_1.890	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.1533	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_3.679	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_10.334	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.4074	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_15.1734	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_9.855	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_12.397	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_2.764	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_5.604	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_4.546	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_11.1155	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_7.660	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_1.2133	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_18.386	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_0.776	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_10.11	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_18.1050	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_8.518	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.1771	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.1873	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.1112	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_10.1040	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_8.1692	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_4.1721	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.1287	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_0.204	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.FRAGSCAFF_47__FRAGMENT_3.12	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_5.280	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_7.1355	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_2.569	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.2603	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_7.527	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.3854	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_12.1125	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_6.3520	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_7.2491	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_15.1428	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_10.204	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_15.2582	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_18.995	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_3.1299	10.00	tp	0
1-CCGG	STREME-1	6.3e-003	evm.TU.HIC_ASM_5.1085	10.00	tp	0
