motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_17.263	21.08	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_15.530	21.08	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_15.2571	21.08	tp	1
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_2.315	21.08	tp	1
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_1.2385	21.08	tp	1
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.69	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_5.1025	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_15.587	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_12.897	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.455	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.652	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_13.1386	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_7.2377	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.ORIGINAL_491.23	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.26	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_11.1031	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_5.264	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.2535	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_18.1239	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.1286	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_17.18	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_15.2491	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_11.530	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_17.1024	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_12.1322	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_14.652	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_8.793	18.70	tp	0
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.692	18.70	tp	1
1-TTAAAAAAATAAAAT	STREME-1	2.6e-001	evm.TU.HIC_ASM_4.1492	18.65	tp	0
