motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_8.364	19.49	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_10.490	19.49	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.371_evm.TU.HIC_ASM_16.372	19.49	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_15.2140	19.49	tp	1
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_1.917	18.29	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.2581	18.29	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_8.1505	17.25	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_15.5	16.98	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.122	16.98	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_9.1326	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_5.560	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_9.1806	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.795	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_18.995	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.ORIGINAL_483__FRAGMENT_2.14	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.2307	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_4.1168	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.1150	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.3035	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_14.971	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.505	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.728	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.3957	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.2351	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_13.1338	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.3034	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_12.301	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_7.2558	16.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_9.1325	16.61	tp	1
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_5.422	16.61	tp	1
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.506	16.61	tp	1
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_17.1393	16.61	tp	1
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_5.1296	16.56	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_8.2022	16.55	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.4057	16.12	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_7.604	16.12	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.260	15.95	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.711	15.81	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_2.794	15.78	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.ORIGINAL_247__FRAGMENT_2.36	15.78	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_7.1982	15.65	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.ORIGINAL_134__FRAGMENT_1.2	15.43	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_4.185	15.28	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.774	15.28	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_3.452	15.12	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_17.1191	15.08	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_11.1156	15.08	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_7.2179	14.90	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_15.2581	14.74	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_7.670	14.72	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_8.1468	14.72	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_17.741	14.63	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_8.1603	14.63	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_9.417	14.61	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_16.515	14.36	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_7.117	14.36	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.213	14.32	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_6.3953	14.31	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_4.1241	14.27	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_0.289	14.15	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_9.1090	14.15	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_1.1072	14.15	tp	0
1-AAAGAAAAGAGAA	STREME-1	2.6e-001	evm.TU.HIC_ASM_0.421	14.15	tp	0
