motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_17.513	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_1.1102	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.2179	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_0.403	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.ORIGINAL_320__FRAGMENT_2.1	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_2.614	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_0.520	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_14.487	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_13.467	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.387	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_12.289	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_1.917	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_9.1326	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.3126	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_15.986	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_17.1019	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.4017	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_17.741	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.34	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.638	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_3.1299	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_15.2123	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.ORIGINAL_134__FRAGMENT_1.7	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_18.546	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_5.66	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_8.1103	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_15.391	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_4.770	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_8.518	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_13.1054	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_2.794	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_3.1850	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_15.2364	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.471	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_4.1241	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_10.490	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_8.80	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.ORIGINAL_308.9	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_16.14	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_10.495	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.362	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_8.1392	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_15.1255	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_9.1228	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_3.1695	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_3.1877	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_9.556	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_17.1117	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_18.16	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_18.995	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_8.2022	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_13.386	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_1.1023	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_11.260	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.2307	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.456	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_11.525	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_9.1540	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_4.1168	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.68	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.ORIGINAL_484__FRAGMENT_1.11	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_15.1848	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_16.1150	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_16.371_evm.TU.HIC_ASM_16.372	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.4158	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.ORIGINAL_226.4	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_9.168	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.2136	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.458	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_12.203	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_3.690	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_0.442	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.105	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.711	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_13.601	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_11.595	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_14.971	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.4057	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_13.368	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.378	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.ORIGINAL_134__FRAGMENT_1.2	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_1.102	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_5.1067	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_0.184	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_16.260	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_15.219	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_16.505	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_17.418	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_16.487	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_11.172	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.1039	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_14.452	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_4.767	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_1.508	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_4.185	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_3.2255	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.3207	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.379	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.FRAGSCAFF_47__FRAGMENT_3.13	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.1792	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_13.700	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_10.532	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_2.456	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.ORIGINAL_131.17	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_13.1125	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.728	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.3957	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_0.441	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.1778	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_0.421	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_11.1083	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_9.279	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_15.2581	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.18	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_16.988	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_12.779	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.1889	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_9.1844	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.2238	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_13.1346	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_2.1337	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_3.392	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_4.793	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_3.1799	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_13.1338	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_8.180	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_8.1603	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.1300	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_14.256	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_9.1229	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_12.301	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.2558	12.83	tp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_1.1444	12.83	fp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_5.357	12.83	fp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_6.1213	12.83	fp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_14.892	12.83	fp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.392	12.83	fp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_0.253	12.83	fp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_7.2241	12.83	fp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_1.1297	12.83	fp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_15.2480	12.83	fp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.HIC_ASM_0.347	12.83	fp	0
1-GGGCCA	STREME-1	4.9e-002	evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	12.83	fp	0
