motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_2.722	13.23	tp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_0.243	13.23	tp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_0.257	13.23	tp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_2.655	13.23	fp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_3.853	13.23	fp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_14.372	13.23	fp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_15.2480	13.23	fp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_13.1142	13.23	fp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_6.57	13.23	fp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_8.451	13.23	fp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_8.301	13.23	fp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_0.10	13.23	fp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_6.3993	13.23	fp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_2.1221	13.23	fp	1
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_2.1312	13.20	tp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_0.1070	13.20	tp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_1.565	13.20	tp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_9.187	13.20	tp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_15.1935	13.20	tp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_16.503	13.20	tp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_7.458	13.20	tp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_7.1817	13.20	tp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_9.781	13.20	fp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_6.1652	13.20	fp	0
1-AGSATSCT	STREME-1	2.3e-001	evm.TU.HIC_ASM_16.291	13.20	fp	0
