motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_8.1308	16.32	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_11.317_evm.TU.HIC_ASM_11.318	16.32	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_15.1848	16.32	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_2.315	16.32	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_12.1277	16.32	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_7.1669	16.32	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_8.277	16.32	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_18.465	16.32	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_11.341	16.32	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_8.638	16.32	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_3.1937	15.90	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_6.722	15.90	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_0.375	15.90	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_11.1031	15.90	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_16.261	15.90	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_1.1689	15.90	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_1.258	15.90	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_14.652	15.90	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_6.26	15.90	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_3.1211	15.90	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_13.880	15.90	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.ORIGINAL_200.16	15.90	fp	1
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_5.1027	15.82	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_15.516	15.82	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_17.471	15.74	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_15.865	15.74	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_4.1395	15.74	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_15.205	15.70	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_1.1280	15.70	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_8.401	15.70	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_14.1095	15.70	fp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_2.7	15.39	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_17.35	15.39	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_16.1198	15.39	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_2.67	15.39	fp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_15.840	15.27	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_17.950	15.27	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_5.442	15.27	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_11.868	15.27	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_1.35	15.27	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_15.1607	15.27	fp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_15.1555	15.27	fp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_1.2221	15.23	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_14.968	15.19	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_15.2392	15.11	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_12.883	14.77	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.ORIGINAL_318__FRAGMENT_1.2	14.77	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_18.777	14.77	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_15.1890	14.77	fp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_7.297	14.72	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.ORIGINAL_491.23	14.72	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_12.897	14.72	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_16.428	14.72	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_16.380	14.72	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.FRAGSCAFF_75__FRAGMENT_3.45	14.72	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_11.689	14.72	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_12.1013	14.72	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_16.403	14.72	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_16.1147	14.72	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_5.131	14.72	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.FRAGSCAFF_49__FRAGMENT_2.6	14.72	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.ORIGINAL_491.24	14.72	tp	0
1-CTTGTTTTCM	STREME-1	5.4e-001	evm.TU.HIC_ASM_1.2294	14.72	tp	0
