motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_15.162	19.57	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_6.1786	18.49	tp	1
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_2.812	17.79	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.FRAGSCAFF_72__FRAGMENT_4.1	17.79	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_15.778	17.58	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.FRAGSCAFF_89__FRAGMENT_4.5	17.40	tp	1
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_4.1305	17.33	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_5.788	17.33	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.FRAGSCAFF_21__FRAGMENT_1.32	17.33	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_4.1567	17.33	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_2.435	17.33	tp	1
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_17.487	17.03	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.ORIGINAL_376.1	16.87	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.ORIGINAL_152.2	16.87	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.ORIGINAL_152.1	16.87	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.ORIGINAL_376.2	16.87	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_6.2595	16.67	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_8.1611	16.67	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_7.787	16.53	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.ORIGINAL_458.14	16.53	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_15.1324	16.53	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_1.1416	16.53	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_17.168	16.32	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_0.583	16.24	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.FRAGSCAFF_59.3	16.00	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.ORIGINAL_113.39	15.87	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.FRAGSCAFF_72__FRAGMENT_4.2	15.87	tp	1
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_8.273	15.87	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_2.874	15.87	tp	1
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_3.1870	15.23	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.ORIGINAL_277.3	15.16	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_1.1508	15.16	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_1.379	15.16	tp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_14.271	15.16	fp	0
1-AAATTTAAAATTTDT	STREME-1	2.3e-002	evm.TU.HIC_ASM_1.133	15.16	tp	0
