motif_ID	motif_ALT_ID	motif_Score	seq_ID	seq_Score	seq_Class	is_holdout?
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_0.356	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_12.52	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.ORIGINAL_154.22	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_16.455	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_1.289	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_17.471	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_6.1053	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_12.897	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_9.1227	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_7.2377	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_17.950	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.ORIGINAL_318__FRAGMENT_1.2	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_3.466	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_5.830	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_11.1264	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_10.253	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_9.576	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_6.1277	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_17.1590	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_16.1147	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_15.365	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_0.1021	16.24	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_16.920	15.50	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_15.840	15.50	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_2.90	15.50	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_12.883	15.50	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_11.1031	15.50	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_7.1976	15.50	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_12.1269	15.50	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_15.516	14.98	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_17.213	14.98	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_16.380	14.98	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_6.2742	14.98	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_12.1013	14.98	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_1.951	14.98	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_9.1135	14.98	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_6.4208	14.97	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_4.1492	14.97	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.FRAGSCAFF_75__FRAGMENT_3.15	14.97	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_17.127	14.97	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_7.247	14.33	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_2.1113	14.33	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_16.1360	14.33	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_1.1689	14.33	tp	0
1-AAAAAAAAACTT	STREME-1	5.2e-009	evm.TU.HIC_ASM_1.2071	14.30	tp	0
