motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_16.380	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_13.886	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_7.1783	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_6.289	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_11.1263	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_16.1136	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_15.516	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_17.127	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_17.213	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_3.466	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_6.2216	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_13.1026	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_12.52	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_4.1552	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.FRAGSCAFF_75__FRAGMENT_3.45	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_11.28	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_3.10	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.HIC_ASM_15.1260	12.45	tp	0
1-ACGCAA	STREME-1	1.2e-002	evm.TU.FRAGSCAFF_75__FRAGMENT_3.23	12.45	tp	0
