motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_16.380	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_13.886	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_16.69	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_7.1783	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.FRAGSCAFF_23.2	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_1.172	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_12.897	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_6.289	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_14.249	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_11.1263	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_15.1105	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_16.1136	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_15.516	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_5.1278	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_17.127	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_17.213	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_3.466	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_3.458	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_6.2216	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_13.1026	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_15.840	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_4.1492	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_4.1552	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.FRAGSCAFF_75__FRAGMENT_3.45	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_3.10	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_6.140	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_15.1260	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_9.366	10.37	tp	0
1-ATTCG	STREME-1	3.5e-002	evm.TU.HIC_ASM_9.969	10.37	tp	0
