motif_ID	motif_ALT_ID	motif_P-value	seq_ID	seq_Score	seq_Class	is_holdout?
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_0.375	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_12.864	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_11.280	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_7.2377	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_4.1752	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_6.2225	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_12.1269	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_6.652	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_11.1031	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_12.1150	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_17.1169	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_1.2071	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_11.868	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_6.722	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_1.258	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_18.465	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_16.1350	17.79	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_12.289	17.79	fp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.ORIGINAL_318__FRAGMENT_1.2	15.40	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_13.1386	15.40	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_18.777	15.40	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_12.52	15.31	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_11.317_evm.TU.HIC_ASM_11.318	15.31	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_13.880	15.31	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_5.1027	15.31	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_15.242	15.20	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_7.1669	15.20	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_15.840	15.20	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_16.455	15.20	tp	1
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_18.1021	15.16	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_15.865	15.16	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_15.365	15.16	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_4.1492	15.16	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_11.1263	15.12	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_16.771	15.12	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_15.1237	15.10	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_5.1025	15.10	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_6.26	15.10	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_17.213	14.98	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.ORIGINAL_154.22	14.98	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_15.1105	14.98	tp	1
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_6.140	14.73	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_8.1129	14.73	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_8.681	14.27	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_5.268	14.27	tp	1
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_3.287	14.20	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_11.1264	13.97	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_9.1227	13.92	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_6.1053	13.92	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_2.214	13.92	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_17.1590	13.92	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_16.1147	13.92	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_11.28	13.85	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_15.2571	13.83	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_13.1360	13.83	tp	1
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_4.1552	12.73	tp	0
1-AAAAAAAACTAA	STREME-1	2.8e-001	evm.TU.HIC_ASM_3.1788	12.73	tp	0
#
2-TAATTAATTA	STREME-2	3.7e-001	evm.TU.HIC_ASM_15.242	15.71	tp	0
2-TAATTAATTA	STREME-2	3.7e-001	evm.TU.HIC_ASM_5.131	15.71	tp	0
2-TAATTAATTA	STREME-2	3.7e-001	evm.TU.HIC_ASM_15.365	15.71	tp	0
2-TAATTAATTA	STREME-2	3.7e-001	evm.TU.HIC_ASM_2.1040	15.71	tp	0
2-TAATTAATTA	STREME-2	3.7e-001	evm.TU.HIC_ASM_7.2377	15.71	tp	0
2-TAATTAATTA	STREME-2	3.7e-001	evm.TU.HIC_ASM_6.1804	15.71	tp	0
2-TAATTAATTA	STREME-2	3.7e-001	evm.TU.HIC_ASM_6.1152	15.71	tp	0
2-TAATTAATTA	STREME-2	3.7e-001	evm.TU.HIC_ASM_17.127	15.71	tp	0
2-TAATTAATTA	STREME-2	3.7e-001	evm.TU.ORIGINAL_318__FRAGMENT_1.2	15.71	tp	0
2-TAATTAATTA	STREME-2	3.7e-001	evm.TU.HIC_ASM_6.140	15.71	tp	0
2-TAATTAATTA	STREME-2	3.7e-001	evm.TU.HIC_ASM_12.1269	15.71	tp	0
2-TAATTAATTA	STREME-2	3.7e-001	evm.TU.HIC_ASM_6.2529	15.71	tp	0
2-TAATTAATTA	STREME-2	3.7e-001	evm.TU.HIC_ASM_6.652	15.71	tp	0
2-TAATTAATTA	STREME-2	3.7e-001	evm.TU.HIC_ASM_9.1015	15.71	tp	0
2-TAATTAATTA	STREME-2	3.7e-001	evm.TU.HIC_ASM_7.246	15.71	tp	0
