nodeName	altName	nodeAttr[nodesPresent, ]
evm.TU.FRAGSCAFF_23.2	NA	blue
evm.TU.FRAGSCAFF_26__FRAGMENT_2.5	NA	blue
evm.TU.FRAGSCAFF_44__FRAGMENT_2.7	NA	blue
evm.TU.FRAGSCAFF_49__FRAGMENT_2.6	NA	blue
evm.TU.FRAGSCAFF_75__FRAGMENT_3.15	NA	blue
evm.TU.FRAGSCAFF_75__FRAGMENT_3.23	NA	blue
evm.TU.FRAGSCAFF_75__FRAGMENT_3.45	NA	blue
evm.TU.HIC_ASM_0.1021	NA	blue
evm.TU.HIC_ASM_0.356	NA	blue
evm.TU.HIC_ASM_0.374	NA	blue
evm.TU.HIC_ASM_0.375	NA	blue
evm.TU.HIC_ASM_0.988	NA	blue
evm.TU.HIC_ASM_1.1280	NA	blue
evm.TU.HIC_ASM_1.163	NA	blue
evm.TU.HIC_ASM_1.1689	NA	blue
evm.TU.HIC_ASM_1.172	NA	blue
evm.TU.HIC_ASM_1.1829	NA	blue
evm.TU.HIC_ASM_1.2071	NA	blue
evm.TU.HIC_ASM_1.21	NA	blue
evm.TU.HIC_ASM_1.2221	NA	blue
evm.TU.HIC_ASM_1.2283	NA	blue
evm.TU.HIC_ASM_1.2294	NA	blue
evm.TU.HIC_ASM_1.2385	NA	blue
evm.TU.HIC_ASM_1.258	NA	blue
evm.TU.HIC_ASM_1.2678	NA	blue
evm.TU.HIC_ASM_1.289	NA	blue
evm.TU.HIC_ASM_1.35	NA	blue
evm.TU.HIC_ASM_1.624	NA	blue
evm.TU.HIC_ASM_1.827	NA	blue
evm.TU.HIC_ASM_1.848	NA	blue
evm.TU.HIC_ASM_1.951	NA	blue
evm.TU.HIC_ASM_10.1156	NA	blue
evm.TU.HIC_ASM_10.253	NA	blue
evm.TU.HIC_ASM_11.1031	NA	blue
evm.TU.HIC_ASM_11.1161	NA	blue
evm.TU.HIC_ASM_11.1263	NA	blue
evm.TU.HIC_ASM_11.1264	NA	blue
evm.TU.HIC_ASM_11.1376	NA	blue
evm.TU.HIC_ASM_11.28	NA	blue
evm.TU.HIC_ASM_11.280	NA	blue
evm.TU.HIC_ASM_11.317_evm.TU.HIC_ASM_11.318	NA	blue
evm.TU.HIC_ASM_11.341	NA	blue
evm.TU.HIC_ASM_11.530	NA	blue
evm.TU.HIC_ASM_11.567	NA	blue
evm.TU.HIC_ASM_11.689	NA	blue
evm.TU.HIC_ASM_11.726	NA	blue
evm.TU.HIC_ASM_11.766	NA	blue
evm.TU.HIC_ASM_11.868	NA	blue
evm.TU.HIC_ASM_12.1013	NA	blue
evm.TU.HIC_ASM_12.1136	NA	blue
evm.TU.HIC_ASM_12.1150	NA	blue
evm.TU.HIC_ASM_12.1253	NA	blue
evm.TU.HIC_ASM_12.1269	NA	blue
evm.TU.HIC_ASM_12.1277	NA	blue
evm.TU.HIC_ASM_12.51	NA	blue
evm.TU.HIC_ASM_12.52	NA	blue
evm.TU.HIC_ASM_12.828	NA	blue
evm.TU.HIC_ASM_12.864	NA	blue
evm.TU.HIC_ASM_12.883	NA	blue
evm.TU.HIC_ASM_12.897	NA	blue
evm.TU.HIC_ASM_13.1026	NA	blue
evm.TU.HIC_ASM_13.1264	NA	blue
evm.TU.HIC_ASM_13.1279	NA	blue
evm.TU.HIC_ASM_13.1360	NA	blue
evm.TU.HIC_ASM_13.1386	NA	blue
evm.TU.HIC_ASM_13.387	NA	blue
evm.TU.HIC_ASM_13.880	NA	blue
evm.TU.HIC_ASM_13.881	NA	blue
evm.TU.HIC_ASM_13.885	NA	blue
evm.TU.HIC_ASM_13.886	NA	blue
evm.TU.HIC_ASM_13.981	NA	blue
evm.TU.HIC_ASM_14.249	NA	blue
evm.TU.HIC_ASM_14.282	NA	blue
evm.TU.HIC_ASM_14.652	NA	blue
evm.TU.HIC_ASM_14.702	NA	blue
evm.TU.HIC_ASM_14.968	NA	blue
evm.TU.HIC_ASM_15.1105	NA	blue
evm.TU.HIC_ASM_15.1237	NA	blue
evm.TU.HIC_ASM_15.1260	NA	blue
evm.TU.HIC_ASM_15.1529	NA	blue
evm.TU.HIC_ASM_15.1848	NA	blue
evm.TU.HIC_ASM_15.197	NA	blue
evm.TU.HIC_ASM_15.205	NA	blue
evm.TU.HIC_ASM_15.206	NA	blue
evm.TU.HIC_ASM_15.2392	NA	blue
evm.TU.HIC_ASM_15.242	NA	blue
evm.TU.HIC_ASM_15.244	NA	blue
evm.TU.HIC_ASM_15.2491	NA	blue
evm.TU.HIC_ASM_15.2571	NA	blue
evm.TU.HIC_ASM_15.352	NA	blue
evm.TU.HIC_ASM_15.365	NA	blue
evm.TU.HIC_ASM_15.516	NA	blue
evm.TU.HIC_ASM_15.531	NA	blue
evm.TU.HIC_ASM_15.587	NA	blue
evm.TU.HIC_ASM_15.718	NA	blue
evm.TU.HIC_ASM_15.840	NA	blue
evm.TU.HIC_ASM_15.844	NA	blue
evm.TU.HIC_ASM_15.865	NA	blue
evm.TU.HIC_ASM_16.1136	NA	blue
evm.TU.HIC_ASM_16.1147	NA	blue
evm.TU.HIC_ASM_16.1198	NA	blue
evm.TU.HIC_ASM_16.1350	NA	blue
evm.TU.HIC_ASM_16.1360	NA	blue
evm.TU.HIC_ASM_16.236	NA	blue
evm.TU.HIC_ASM_16.261	NA	blue
evm.TU.HIC_ASM_16.27	NA	blue
evm.TU.HIC_ASM_16.380	NA	blue
evm.TU.HIC_ASM_16.403	NA	blue
evm.TU.HIC_ASM_16.428	NA	blue
evm.TU.HIC_ASM_16.455	NA	blue
evm.TU.HIC_ASM_16.69	NA	blue
evm.TU.HIC_ASM_16.692	NA	blue
evm.TU.HIC_ASM_16.72	NA	blue
evm.TU.HIC_ASM_16.771	NA	blue
evm.TU.HIC_ASM_16.920	NA	blue
evm.TU.HIC_ASM_16.947	NA	blue
evm.TU.HIC_ASM_16.972	NA	blue
evm.TU.HIC_ASM_17.1130	NA	blue
