nodeName	altName	nodeAttr[nodesPresent, ]
evm.TU.FRAGSCAFF_21__FRAGMENT_1.19	NA	magenta
evm.TU.FRAGSCAFF_27__FRAGMENT_2.3	NA	magenta
evm.TU.FRAGSCAFF_44__FRAGMENT_2.23	NA	magenta
evm.TU.HIC_ASM_0.209	NA	magenta
evm.TU.HIC_ASM_0.435	NA	magenta
evm.TU.HIC_ASM_0.509	NA	magenta
evm.TU.HIC_ASM_0.585	NA	magenta
evm.TU.HIC_ASM_0.590	NA	magenta
evm.TU.HIC_ASM_1.110	NA	magenta
evm.TU.HIC_ASM_1.1475	NA	magenta
evm.TU.HIC_ASM_1.1850	NA	magenta
evm.TU.HIC_ASM_1.2536	NA	magenta
evm.TU.HIC_ASM_1.291	NA	magenta
evm.TU.HIC_ASM_1.336	NA	magenta
evm.TU.HIC_ASM_1.681	NA	magenta
evm.TU.HIC_ASM_12.137	NA	magenta
evm.TU.HIC_ASM_12.138	NA	magenta
evm.TU.HIC_ASM_12.312	NA	magenta
evm.TU.HIC_ASM_12.800	NA	magenta
evm.TU.HIC_ASM_13.1196	NA	magenta
evm.TU.HIC_ASM_13.1197	NA	magenta
evm.TU.HIC_ASM_13.1198	NA	magenta
evm.TU.HIC_ASM_13.1265	NA	magenta
evm.TU.HIC_ASM_13.1266	NA	magenta
evm.TU.HIC_ASM_13.1298	NA	magenta
evm.TU.HIC_ASM_13.652	NA	magenta
evm.TU.HIC_ASM_14.342	NA	magenta
evm.TU.HIC_ASM_14.372	NA	magenta
evm.TU.HIC_ASM_14.492	NA	magenta
evm.TU.HIC_ASM_14.54	NA	magenta
evm.TU.HIC_ASM_14.627	NA	magenta
evm.TU.HIC_ASM_15.1224	NA	magenta
evm.TU.HIC_ASM_15.1683	NA	magenta
evm.TU.HIC_ASM_15.2172	NA	magenta
evm.TU.HIC_ASM_15.2311	NA	magenta
evm.TU.HIC_ASM_15.2515	NA	magenta
evm.TU.HIC_ASM_15.2639	NA	magenta
evm.TU.HIC_ASM_15.785	NA	magenta
evm.TU.HIC_ASM_16.1039	NA	magenta
evm.TU.HIC_ASM_16.1113	NA	magenta
evm.TU.HIC_ASM_16.306	NA	magenta
evm.TU.HIC_ASM_16.676	NA	magenta
evm.TU.HIC_ASM_16.964	NA	magenta
evm.TU.HIC_ASM_17.1268	NA	magenta
evm.TU.HIC_ASM_17.368	NA	magenta
evm.TU.HIC_ASM_17.483	NA	magenta
evm.TU.HIC_ASM_18.1093	NA	magenta
evm.TU.HIC_ASM_18.1205	NA	magenta
evm.TU.HIC_ASM_18.420	NA	magenta
evm.TU.HIC_ASM_18.51	NA	magenta
evm.TU.HIC_ASM_18.64	NA	magenta
evm.TU.HIC_ASM_18.788	NA	magenta
evm.TU.HIC_ASM_2.1029	NA	magenta
evm.TU.HIC_ASM_2.1033	NA	magenta
evm.TU.HIC_ASM_2.1212	NA	magenta
evm.TU.HIC_ASM_2.1221	NA	magenta
evm.TU.HIC_ASM_2.345	NA	magenta
evm.TU.HIC_ASM_2.394	NA	magenta
evm.TU.HIC_ASM_2.655	NA	magenta
evm.TU.HIC_ASM_2.893	NA	magenta
evm.TU.HIC_ASM_2.924	NA	magenta
evm.TU.HIC_ASM_3.1109	NA	magenta
evm.TU.HIC_ASM_3.1131	NA	magenta
evm.TU.HIC_ASM_3.1239	NA	magenta
evm.TU.HIC_ASM_3.2076	NA	magenta
evm.TU.HIC_ASM_3.329	NA	magenta
evm.TU.HIC_ASM_3.729	NA	magenta
