nodeName	altName	nodeAttr[nodesPresent, ]
evm.TU.FRAGSCAFF_75__FRAGMENT_3.80	NA	turquoise
evm.TU.HIC_ASM_0.44	NA	turquoise
evm.TU.HIC_ASM_1.1326	NA	turquoise
evm.TU.HIC_ASM_1.1552	NA	turquoise
evm.TU.HIC_ASM_1.1553	NA	turquoise
evm.TU.HIC_ASM_1.188	NA	turquoise
evm.TU.HIC_ASM_10.627	NA	turquoise
evm.TU.HIC_ASM_10.722	NA	turquoise
evm.TU.HIC_ASM_12.288	NA	turquoise
evm.TU.HIC_ASM_12.960	NA	turquoise
evm.TU.HIC_ASM_12.982	NA	turquoise
evm.TU.HIC_ASM_14.1005	NA	turquoise
evm.TU.HIC_ASM_14.651	NA	turquoise
evm.TU.HIC_ASM_15.1998	NA	turquoise
evm.TU.HIC_ASM_15.361	NA	turquoise
evm.TU.HIC_ASM_16.851	NA	turquoise
evm.TU.HIC_ASM_16.940	NA	turquoise
evm.TU.HIC_ASM_17.1240	NA	turquoise
evm.TU.HIC_ASM_18.316	NA	turquoise
evm.TU.HIC_ASM_3.1969	NA	turquoise
evm.TU.HIC_ASM_5.563	NA	turquoise
evm.TU.HIC_ASM_6.2160	NA	turquoise
evm.TU.HIC_ASM_6.2990	NA	turquoise
evm.TU.HIC_ASM_6.3416	NA	turquoise
evm.TU.HIC_ASM_6.3675	NA	turquoise
evm.TU.HIC_ASM_6.3969	NA	turquoise
evm.TU.HIC_ASM_7.1643	NA	turquoise
evm.TU.HIC_ASM_7.1774	NA	turquoise
evm.TU.HIC_ASM_7.1885	NA	turquoise
evm.TU.HIC_ASM_7.822	NA	turquoise
evm.TU.HIC_ASM_8.738	NA	turquoise
evm.TU.HIC_ASM_9.1797	NA	turquoise
evm.TU.HIC_ASM_9.242	NA	turquoise
PB.9590	NA	turquoise
