nodeName	altName	nodeAttr[nodesPresent, ]
evm.TU.FRAGSCAFF_14.2	NA	midnightblue
evm.TU.FRAGSCAFF_16__FRAGMENT_2.8	NA	midnightblue
evm.TU.FRAGSCAFF_17__FRAGMENT_2.18	NA	midnightblue
evm.TU.FRAGSCAFF_17__FRAGMENT_2.9	NA	midnightblue
evm.TU.FRAGSCAFF_21__FRAGMENT_1.13	NA	midnightblue
evm.TU.FRAGSCAFF_22__FRAGMENT_1.8	NA	midnightblue
evm.TU.FRAGSCAFF_27__FRAGMENT_2.14	NA	midnightblue
evm.TU.FRAGSCAFF_27__FRAGMENT_2.18	NA	midnightblue
evm.TU.FRAGSCAFF_29__FRAGMENT_2.24	NA	midnightblue
evm.TU.FRAGSCAFF_36.13	NA	midnightblue
evm.TU.FRAGSCAFF_36.4	NA	midnightblue
evm.TU.FRAGSCAFF_44__FRAGMENT_2.37	NA	midnightblue
evm.TU.FRAGSCAFF_47__FRAGMENT_3.12	NA	midnightblue
evm.TU.FRAGSCAFF_47__FRAGMENT_3.13	NA	midnightblue
evm.TU.FRAGSCAFF_47__FRAGMENT_3.18	NA	midnightblue
evm.TU.FRAGSCAFF_49__FRAGMENT_2.15	NA	midnightblue
evm.TU.FRAGSCAFF_49__FRAGMENT_2.20	NA	midnightblue
evm.TU.FRAGSCAFF_75__FRAGMENT_3.15	NA	midnightblue
evm.TU.FRAGSCAFF_7__FRAGMENT_1.14	NA	midnightblue
evm.TU.FRAGSCAFF_89__FRAGMENT_3.11	NA	midnightblue
evm.TU.HIC_ASM_0.1084	NA	midnightblue
evm.TU.HIC_ASM_0.114	NA	midnightblue
evm.TU.HIC_ASM_0.143	NA	midnightblue
evm.TU.HIC_ASM_0.156	NA	midnightblue
evm.TU.HIC_ASM_0.170	NA	midnightblue
evm.TU.HIC_ASM_0.171	NA	midnightblue
evm.TU.HIC_ASM_0.204	NA	midnightblue
evm.TU.HIC_ASM_0.218	NA	midnightblue
evm.TU.HIC_ASM_0.231	NA	midnightblue
evm.TU.HIC_ASM_0.289	NA	midnightblue
evm.TU.HIC_ASM_0.290	NA	midnightblue
evm.TU.HIC_ASM_0.403	NA	midnightblue
evm.TU.HIC_ASM_0.41	NA	midnightblue
evm.TU.HIC_ASM_0.421	NA	midnightblue
evm.TU.HIC_ASM_0.473	NA	midnightblue
evm.TU.HIC_ASM_0.478	NA	midnightblue
evm.TU.HIC_ASM_0.492	NA	midnightblue
evm.TU.HIC_ASM_0.520	NA	midnightblue
evm.TU.HIC_ASM_0.709	NA	midnightblue
evm.TU.HIC_ASM_0.776	NA	midnightblue
