nodeName	altName	nodeAttr[nodesPresent, ]
evm.TU.FRAGSCAFF_57__FRAGMENT_2.39	NA	salmon
evm.TU.HIC_ASM_0.311	NA	salmon
evm.TU.HIC_ASM_0.843	NA	salmon
evm.TU.HIC_ASM_1.1123	NA	salmon
evm.TU.HIC_ASM_1.1884	NA	salmon
evm.TU.HIC_ASM_1.862	NA	salmon
evm.TU.HIC_ASM_10.704	NA	salmon
evm.TU.HIC_ASM_11.477	NA	salmon
evm.TU.HIC_ASM_11.72	NA	salmon
evm.TU.HIC_ASM_12.973	NA	salmon
evm.TU.HIC_ASM_13.547	NA	salmon
evm.TU.HIC_ASM_14.603	NA	salmon
evm.TU.HIC_ASM_14.625	NA	salmon
evm.TU.HIC_ASM_14.628	NA	salmon
evm.TU.HIC_ASM_14.860	NA	salmon
evm.TU.HIC_ASM_14.93	NA	salmon
evm.TU.HIC_ASM_15.2467	NA	salmon
evm.TU.HIC_ASM_15.738	NA	salmon
evm.TU.HIC_ASM_16.368	NA	salmon
evm.TU.HIC_ASM_16.48	NA	salmon
evm.TU.HIC_ASM_16.934	NA	salmon
evm.TU.HIC_ASM_16.974	NA	salmon
evm.TU.HIC_ASM_17.1134	NA	salmon
evm.TU.HIC_ASM_17.1438	NA	salmon
evm.TU.HIC_ASM_17.296	NA	salmon
evm.TU.HIC_ASM_17.439	NA	salmon
evm.TU.HIC_ASM_17.440	NA	salmon
evm.TU.HIC_ASM_17.594	NA	salmon
evm.TU.HIC_ASM_2.1042	NA	salmon
evm.TU.HIC_ASM_2.1179	NA	salmon
evm.TU.HIC_ASM_2.1455	NA	salmon
evm.TU.HIC_ASM_2.576	NA	salmon
evm.TU.HIC_ASM_3.1000	NA	salmon
evm.TU.HIC_ASM_3.1134	NA	salmon
evm.TU.HIC_ASM_3.91	NA	salmon
evm.TU.HIC_ASM_4.1014	NA	salmon
evm.TU.HIC_ASM_4.1031	NA	salmon
evm.TU.HIC_ASM_4.1449	NA	salmon
evm.TU.HIC_ASM_4.1515	NA	salmon
evm.TU.HIC_ASM_4.1688	NA	salmon
evm.TU.HIC_ASM_4.1713	NA	salmon
evm.TU.HIC_ASM_4.235	NA	salmon
evm.TU.HIC_ASM_4.417	NA	salmon
evm.TU.HIC_ASM_4.475	NA	salmon
evm.TU.HIC_ASM_4.753	NA	salmon
evm.TU.HIC_ASM_4.875	NA	salmon
evm.TU.HIC_ASM_5.638	NA	salmon
evm.TU.HIC_ASM_6.1573	NA	salmon
evm.TU.HIC_ASM_6.1960	NA	salmon
evm.TU.HIC_ASM_6.2182	NA	salmon
evm.TU.HIC_ASM_6.2612	NA	salmon
evm.TU.HIC_ASM_6.2894	NA	salmon
evm.TU.HIC_ASM_6.3445	NA	salmon
evm.TU.HIC_ASM_6.3724	NA	salmon
evm.TU.HIC_ASM_6.3797	NA	salmon
evm.TU.HIC_ASM_6.386	NA	salmon
evm.TU.HIC_ASM_6.930	NA	salmon
evm.TU.HIC_ASM_7.1119	NA	salmon
evm.TU.HIC_ASM_7.1691	NA	salmon
evm.TU.HIC_ASM_7.2083	NA	salmon
evm.TU.HIC_ASM_7.2426	NA	salmon
evm.TU.HIC_ASM_7.388	NA	salmon
evm.TU.HIC_ASM_8.1182	NA	salmon
evm.TU.HIC_ASM_8.1912	NA	salmon
evm.TU.HIC_ASM_8.2071	NA	salmon
evm.TU.HIC_ASM_8.363	NA	salmon
evm.TU.HIC_ASM_8.587	NA	salmon
evm.TU.HIC_ASM_8.588	NA	salmon
evm.TU.HIC_ASM_8.591	NA	salmon
evm.TU.HIC_ASM_8.592	NA	salmon
evm.TU.HIC_ASM_8.593	NA	salmon
evm.TU.HIC_ASM_8.851	NA	salmon
evm.TU.HIC_ASM_8.933	NA	salmon
evm.TU.HIC_ASM_8.987	NA	salmon
evm.TU.HIC_ASM_9.1111	NA	salmon
evm.TU.HIC_ASM_9.1169	NA	salmon
evm.TU.HIC_ASM_9.1663	NA	salmon
evm.TU.HIC_ASM_9.1868	NA	salmon
evm.TU.HIC_ASM_9.60	NA	salmon
evm.TU.ORIGINAL_354.1	NA	salmon
evm.TU.ORIGINAL_429.1	NA	salmon
evm.TU.ORIGINAL_435__FRAGMENT_2.1	NA	salmon
evm.TU.ORIGINAL_458.18	NA	salmon
evm.TU.ORIGINAL_471.3	NA	salmon
PB.437	NA	salmon
PB.3163	NA	salmon
PB.669	NA	salmon
PB.9218	NA	salmon
PB.3867	NA	salmon
