nodeName	altName	nodeAttr[nodesPresent, ]
evm.TU.FRAGSCAFF_17__FRAGMENT_2.18	NA	pink
evm.TU.FRAGSCAFF_44__FRAGMENT_2.37	NA	pink
evm.TU.HIC_ASM_0.184	NA	pink
evm.TU.HIC_ASM_0.218	NA	pink
evm.TU.HIC_ASM_0.289	NA	pink
evm.TU.HIC_ASM_0.421	NA	pink
evm.TU.HIC_ASM_0.441	NA	pink
evm.TU.HIC_ASM_0.91	NA	pink
evm.TU.HIC_ASM_0.957	NA	pink
evm.TU.HIC_ASM_0.972	NA	pink
evm.TU.HIC_ASM_1.1715	NA	pink
evm.TU.HIC_ASM_1.2035	NA	pink
evm.TU.HIC_ASM_10.1176	NA	pink
evm.TU.HIC_ASM_10.352	NA	pink
evm.TU.HIC_ASM_10.490	NA	pink
evm.TU.HIC_ASM_10.495	NA	pink
evm.TU.HIC_ASM_10.532	NA	pink
evm.TU.HIC_ASM_10.859	NA	pink
evm.TU.HIC_ASM_11.104	NA	pink
evm.TU.HIC_ASM_11.1155	NA	pink
evm.TU.HIC_ASM_11.1156	NA	pink
evm.TU.HIC_ASM_11.172	NA	pink
evm.TU.HIC_ASM_11.260	NA	pink
evm.TU.HIC_ASM_11.49	NA	pink
evm.TU.HIC_ASM_11.595	NA	pink
evm.TU.HIC_ASM_11.80	NA	pink
evm.TU.HIC_ASM_11.81	NA	pink
evm.TU.HIC_ASM_12.1125	NA	pink
evm.TU.HIC_ASM_12.1184	NA	pink
evm.TU.HIC_ASM_12.168	NA	pink
evm.TU.HIC_ASM_12.18	NA	pink
evm.TU.HIC_ASM_12.289	NA	pink
evm.TU.HIC_ASM_12.779	NA	pink
evm.TU.HIC_ASM_13.1054	NA	pink
evm.TU.HIC_ASM_13.1163	NA	pink
evm.TU.HIC_ASM_13.1338	NA	pink
evm.TU.HIC_ASM_13.1346	NA	pink
evm.TU.HIC_ASM_13.1375	NA	pink
evm.TU.HIC_ASM_13.337	NA	pink
evm.TU.HIC_ASM_13.359	NA	pink
evm.TU.HIC_ASM_13.368	NA	pink
evm.TU.HIC_ASM_13.467	NA	pink
evm.TU.HIC_ASM_13.700	NA	pink
evm.TU.HIC_ASM_14.256	NA	pink
evm.TU.HIC_ASM_14.452	NA	pink
evm.TU.HIC_ASM_14.487	NA	pink
evm.TU.HIC_ASM_15.1267	NA	pink
evm.TU.HIC_ASM_15.2140	NA	pink
evm.TU.HIC_ASM_15.2339	NA	pink
evm.TU.HIC_ASM_15.2364	NA	pink
evm.TU.HIC_ASM_15.2630	NA	pink
evm.TU.HIC_ASM_15.391	NA	pink
evm.TU.HIC_ASM_15.71	NA	pink
evm.TU.HIC_ASM_15.815	NA	pink
evm.TU.HIC_ASM_16.1050	NA	pink
evm.TU.HIC_ASM_16.1143	NA	pink
evm.TU.HIC_ASM_16.1288	NA	pink
evm.TU.HIC_ASM_16.14	NA	pink
evm.TU.HIC_ASM_16.260	NA	pink
evm.TU.HIC_ASM_16.487	NA	pink
evm.TU.HIC_ASM_16.506	NA	pink
evm.TU.HIC_ASM_16.515	NA	pink
evm.TU.HIC_ASM_16.988	NA	pink
evm.TU.HIC_ASM_17.1019	NA	pink
evm.TU.HIC_ASM_17.1028	NA	pink
evm.TU.HIC_ASM_17.1117	NA	pink
evm.TU.HIC_ASM_17.1127	NA	pink
evm.TU.HIC_ASM_17.1191	NA	pink
evm.TU.HIC_ASM_17.1393	NA	pink
evm.TU.HIC_ASM_17.475	NA	pink
evm.TU.HIC_ASM_17.680	NA	pink
evm.TU.HIC_ASM_17.737_evm.TU.HIC_ASM_17.738	NA	pink
evm.TU.HIC_ASM_18.16	NA	pink
evm.TU.HIC_ASM_18.472	NA	pink
evm.TU.HIC_ASM_18.546	NA	pink
evm.TU.HIC_ASM_18.886	NA	pink
evm.TU.HIC_ASM_2.247	NA	pink
evm.TU.HIC_ASM_2.614	NA	pink
evm.TU.HIC_ASM_2.764	NA	pink
evm.TU.HIC_ASM_2.794	NA	pink
evm.TU.HIC_ASM_2.953	NA	pink
evm.TU.HIC_ASM_3.1695	NA	pink
evm.TU.HIC_ASM_3.1711	NA	pink
evm.TU.HIC_ASM_3.1799	NA	pink
evm.TU.HIC_ASM_3.1850	NA	pink
evm.TU.HIC_ASM_3.1877	NA	pink
evm.TU.HIC_ASM_3.681	NA	pink
evm.TU.HIC_ASM_3.733	NA	pink
evm.TU.HIC_ASM_4.1037	NA	pink
evm.TU.HIC_ASM_4.1168	NA	pink
evm.TU.HIC_ASM_4.1241	NA	pink
evm.TU.HIC_ASM_4.185	NA	pink
evm.TU.HIC_ASM_4.671	NA	pink
evm.TU.HIC_ASM_4.767	NA	pink
evm.TU.HIC_ASM_4.770	NA	pink
evm.TU.HIC_ASM_4.793	NA	pink
evm.TU.HIC_ASM_4.909	NA	pink
evm.TU.HIC_ASM_5.1198	NA	pink
evm.TU.HIC_ASM_5.1199	NA	pink
evm.TU.HIC_ASM_5.1296	NA	pink
evm.TU.HIC_ASM_5.171	NA	pink
evm.TU.HIC_ASM_5.422	NA	pink
evm.TU.HIC_ASM_5.560	NA	pink
evm.TU.HIC_ASM_5.705	NA	pink
evm.TU.HIC_ASM_6.1220_evm.TU.HIC_ASM_6.1221	NA	pink
evm.TU.HIC_ASM_6.139	NA	pink
evm.TU.HIC_ASM_6.2027	NA	pink
evm.TU.HIC_ASM_6.213	NA	pink
evm.TU.HIC_ASM_6.2351	NA	pink
evm.TU.HIC_ASM_6.2382	NA	pink
evm.TU.HIC_ASM_6.2579	NA	pink
evm.TU.HIC_ASM_6.2581	NA	pink
evm.TU.HIC_ASM_6.3034	NA	pink
evm.TU.HIC_ASM_6.3035	NA	pink
evm.TU.HIC_ASM_6.3126	NA	pink
evm.TU.HIC_ASM_6.3207	NA	pink
evm.TU.HIC_ASM_6.3446	NA	pink
evm.TU.HIC_ASM_6.382	NA	pink
evm.TU.HIC_ASM_6.387	NA	pink
evm.TU.HIC_ASM_6.3953	NA	pink
evm.TU.HIC_ASM_6.3957	NA	pink
evm.TU.HIC_ASM_6.4017	NA	pink
evm.TU.HIC_ASM_6.4057	NA	pink
evm.TU.HIC_ASM_6.4158	NA	pink
evm.TU.HIC_ASM_6.471	NA	pink
evm.TU.HIC_ASM_6.635	NA	pink
evm.TU.HIC_ASM_6.68	NA	pink
evm.TU.HIC_ASM_6.728	NA	pink
evm.TU.HIC_ASM_6.774	NA	pink
evm.TU.HIC_ASM_7.105	NA	pink
evm.TU.HIC_ASM_7.1792	NA	pink
evm.TU.HIC_ASM_7.18	NA	pink
evm.TU.HIC_ASM_7.1889	NA	pink
evm.TU.HIC_ASM_7.2179	NA	pink
evm.TU.HIC_ASM_7.2238	NA	pink
evm.TU.HIC_ASM_7.270	NA	pink
evm.TU.HIC_ASM_7.328	NA	pink
evm.TU.HIC_ASM_7.34	NA	pink
evm.TU.HIC_ASM_7.362	NA	pink
evm.TU.HIC_ASM_7.378	NA	pink
evm.TU.HIC_ASM_7.604	NA	pink
evm.TU.HIC_ASM_8.1115	NA	pink
evm.TU.HIC_ASM_8.1468	NA	pink
evm.TU.HIC_ASM_8.1790	NA	pink
evm.TU.HIC_ASM_8.180	NA	pink
evm.TU.HIC_ASM_8.364	NA	pink
evm.TU.HIC_ASM_8.80	NA	pink
evm.TU.HIC_ASM_9.1090	NA	pink
evm.TU.HIC_ASM_9.1229	NA	pink
evm.TU.HIC_ASM_9.1540	NA	pink
evm.TU.HIC_ASM_9.168	NA	pink
evm.TU.HIC_ASM_9.1844	NA	pink
evm.TU.HIC_ASM_9.417	NA	pink
evm.TU.ORIGINAL_134__FRAGMENT_1.7	NA	pink
evm.TU.ORIGINAL_153.21	NA	pink
evm.TU.ORIGINAL_247__FRAGMENT_2.36	NA	pink
evm.TU.ORIGINAL_308.9	NA	pink
evm.TU.ORIGINAL_318__FRAGMENT_1.4	NA	pink
evm.TU.ORIGINAL_320__FRAGMENT_2.1	NA	pink
evm.TU.ORIGINAL_437__FRAGMENT_2.19	NA	pink
evm.TU.ORIGINAL_458.13	NA	pink
evm.TU.ORIGINAL_483__FRAGMENT_2.14	NA	pink
evm.TU.ORIGINAL_484__FRAGMENT_1.11	NA	pink
PB.18236	NA	pink
PB.18696	NA	pink
PB.3204	NA	pink
PB.16383	NA	pink
PB.462	NA	pink
PB.12283	NA	pink
PB.4155	NA	pink
PB.13228	NA	pink
PB.17324	NA	pink
PB.4035	NA	pink
PB.9832	NA	pink
PB.20257	NA	pink
PB.23186	NA	pink
