nodeName	altName	nodeAttr[nodesPresent, ]
evm.TU.FRAGSCAFF_58__FRAGMENT_1.3	NA	greenyellow
evm.TU.FRAGSCAFF_78__FRAGMENT_1.1	NA	greenyellow
evm.TU.FRAGSCAFF_94__FRAGMENT_3.13	NA	greenyellow
evm.TU.HIC_ASM_0.147	NA	greenyellow
evm.TU.HIC_ASM_0.221	NA	greenyellow
evm.TU.HIC_ASM_0.371	NA	greenyellow
evm.TU.HIC_ASM_0.464	NA	greenyellow
evm.TU.HIC_ASM_0.619	NA	greenyellow
evm.TU.HIC_ASM_10.461	NA	greenyellow
evm.TU.HIC_ASM_10.476	NA	greenyellow
evm.TU.HIC_ASM_10.619	NA	greenyellow
evm.TU.HIC_ASM_11.1181	NA	greenyellow
evm.TU.HIC_ASM_12.1268	NA	greenyellow
evm.TU.HIC_ASM_13.928	NA	greenyellow
evm.TU.HIC_ASM_14.271	NA	greenyellow
evm.TU.HIC_ASM_14.647	NA	greenyellow
evm.TU.HIC_ASM_14.786	NA	greenyellow
evm.TU.HIC_ASM_16.192	NA	greenyellow
evm.TU.HIC_ASM_16.327	NA	greenyellow
evm.TU.HIC_ASM_16.431	NA	greenyellow
evm.TU.HIC_ASM_2.1045	NA	greenyellow
evm.TU.HIC_ASM_3.1005	NA	greenyellow
evm.TU.HIC_ASM_3.1126	NA	greenyellow
evm.TU.HIC_ASM_3.1552	NA	greenyellow
evm.TU.HIC_ASM_3.477	NA	greenyellow
evm.TU.HIC_ASM_3.538	NA	greenyellow
evm.TU.HIC_ASM_5.1017	NA	greenyellow
evm.TU.HIC_ASM_5.1129	NA	greenyellow
evm.TU.HIC_ASM_6.2383	NA	greenyellow
evm.TU.HIC_ASM_7.251	NA	greenyellow
evm.TU.HIC_ASM_8.1571	NA	greenyellow
evm.TU.HIC_ASM_8.1575	NA	greenyellow
evm.TU.HIC_ASM_8.1833	NA	greenyellow
evm.TU.HIC_ASM_8.476	NA	greenyellow
evm.TU.HIC_ASM_8.792	NA	greenyellow
evm.TU.HIC_ASM_8.899	NA	greenyellow
evm.TU.ORIGINAL_247__FRAGMENT_2.42	NA	greenyellow
evm.TU.ORIGINAL_247__FRAGMENT_2.50	NA	greenyellow
evm.TU.ORIGINAL_469__FRAGMENT_1.3	NA	greenyellow
evm.TU.ORIGINAL_469__FRAGMENT_1.4	NA	greenyellow
evm.TU.ORIGINAL_469__FRAGMENT_1.5	NA	greenyellow
